datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu,test,test_hodo,I_d_cr,I_d_hodo
27.01.2020,0,0,0,20,20,0.104922985,0,0
28.01.2020,0,0,0,28,8,0.041969194,0,0
29.01.2020,0,0,0,33,5,0.026230746,0,0
30.01.2020,0,0,0,34,1,0.005246149,0,0
31.01.2020,0,0,0,37,3,0.015738448,0,0
01.02.2020,0,0,0,38,1,0.005246149,0,0
02.02.2020,0,0,0,43,5,0.026230746,0,0
03.02.2020,0,0,0,48,5,0.026230746,0,0
04.02.2020,0,0,0,53,5,0.026230746,0,0
05.02.2020,0,0,0,53,0,0,0,0
06.02.2020,0,0,0,56,3,0.015738448,0,0
07.02.2020,0,0,0,62,6,0.031476895,0,0
08.02.2020,0,0,0,62,0,0,0,0
09.02.2020,0,0,0,64,2,0.010492298,0,0
10.02.2020,0,0,0,72,8,0.041969194,0,0
11.02.2020,0,0,0,74,2,0.010492298,0,0
12.02.2020,0,0,0,75,1,0.005246149,0,0
13.02.2020,0,0,0,76,1,0.005246149,0,0
14.02.2020,0,0,0,76,0,0,0,0
15.02.2020,0,0,0,77,1,0.005246149,0,0
16.02.2020,0,0,0,78,1,0.005246149,0,0
17.02.2020,0,0,0,80,2,0.010492298,0,0
18.02.2020,0,0,0,80,0,0,0,0
19.02.2020,0,0,0,82,2,0.010492298,0,0
20.02.2020,0,0,0,82,0,0,0,0
21.02.2020,0,0,0,82,0,0,0,0
22.02.2020,0,0,0,83,1,0.005246149,0,0
23.02.2020,0,0,0,86,3,0.015738448,0,0
24.02.2020,0,0,0,98,12,0.062953791,0,0
25.02.2020,0,0,0,112,14,0.073446089,0,0
26.02.2020,0,0,0,135,23,0.120661433,0,0
27.02.2020,0,0,0,170,35,0.183615224,0,0
28.02.2020,0,0,0,193,23,0.120661433,0,0
29.02.2020,0,0,0,200,7,0.036723045,0,0
01.03.2020,3,0,0,211,11,0.057707642,3,0.015738448
02.03.2020,3,0,0,262,51,0.267553611,0,0
03.03.2020,5,0,0,340,78,0.409199641,2,0.010492298
04.03.2020,5,0,0,407,67,0.351491999,0,0
05.03.2020,8,0,0,483,76,0.398707343,3,0.015738448
06.03.2020,19,0,0,594,111,0.582322566,11,0.057707642
07.03.2020,26,0,0,787,193,1.012506804,7,0.036723045
08.03.2020,32,0,0,928,141,0.739707043,6,0.031476895
09.03.2020,38,0,0,1193,265,1.39022955,6,0.031476895
10.03.2020,63,0,0,1358,165,0.865614625,25,0.131153731
11.03.2020,94,0,0,1816,458,2.402736354,31,0.162630627
