layer,sublayer,vertex1,vertex2, probability, intensity
1,64,18948,18949,0.8,0.122391
1,177,21425,21426,0.5,0.122391
1,667,19581,19582,0.5,0.122391
1,667,19581,19583,0.5,0.122391
1,1667,13015,13019,0.8,0.122391
1,2184,16676,16677,0.5,0.122391
1,2229,6412,6414,0.5,0.122391
1,2243,20770,20772,0.8,0.122391
1,2890,7808,7809,0.5,0.122391
1,2893,1607,1608,0.8,0.122391
1,2900,2442,2443,0.5,0.122391
1,3039,9246,9247,0.8,0.122391
1,3178,13811,13812,0.5,0.122391
1,3178,13811,13814,0.5,0.122391
1,3238,21228,21230,0.8,0.122391
1,3469,7824,7827,0.5,0.122391
1,3514,11956,11957,0.5,0.122391
1,3753,19323,19326,0.5,0.122391
1,4027,17615,17616,0.5,0.122391
1,4094,8159,8160,0.5,0.122391
1,4300,13736,13739,0.5,0.122391
1,4358,8440,8441,0.8,0.122391
1,4452,20009,20010,0.5,0.122391
1,4501,8633,8634,0.5,0.122391
1,4521,8062,8063,0.5,0.122391
1,4625,5058,5059,0.5,0.122391
1,4783,14720,14722,0.5,0.122391
1,4806,6025,6027,0.8,0.122391
1,4813,23288,23290,0.8,0.122391
1,4817,4421,4422,0.5,0.122391
1,5138,20875,20876,0.5,0.122391
1,5628,10109,10110,0.8,0.122391
1,5951,18143,18144,0.5,0.122391
1,6027,16498,16499,0.5,0.122391
1,6173,18405,18406,0.5,0.122391
1,6222,10414,10416,0.5,0.122391
1,6396,14666,14667,0.8,0.122391
1,6541,10037,10040,0.5,0.122391
1,6639,1676,1679,0.8,0.122391
1,6723,19905,19908,0.5,0.122391
1,6723,19907,19908,0.5,0.122391
1,6735,22990,22991,0.8,0.122391
1,6772,19462,19463,0.8,0.122391
1,6810,12377,12379,0.5,0.122391
1,6957,9806,9807,0.5,0.122391
1,7133,23435,23436,0.8,0.122391
1,7527,22883,22885,0.8,0.122391
1,7529,18917,18918,0.5,0.122391
1,7529,18917,18919,0.5,0.122391
1,7570,22491,22492,0.5,0.122391
1,7570,22492,22493,0.5,0.122391
1,7607,22938,22939,0.5,0.122391
1,7607,22938,22945,0.5,0.122391
1,7646,5641,5642,0.5,0.122391
1,7661,23725,23726,0.5,0.122391
1,7698,1595,1597,0.5,0.122391
1,7698,1597,1598,0.5,0.122391
1,7731,7310,7311,0.8,0.122391
1,7793,9409,9410,0.5,0.122391
1,7913,20000,20001,0.5,0.122391
1,8164,11607,11608,0.8,0.122391
1,8164,11607,11610,0.8,0.122391
1,8164,11608,11610,0.8,0.122391
1,8221,1846,1847,0.8,0.122391
1,8334,5330,5333,0.8,0.122391
1,8376,14736,14737,0.5,0.122391
1,9022,1407,1409,0.5,0.122391
1,9022,1408,1409,0.5,0.122391
1,9242,23818,23819,0.5,0.122391
1,9257,11834,11835,0.5,0.122391
1,9284,12240,12242,0.5,0.122391
1,9284,12241,12242,0.5,0.122391
1,9445,12510,12511,0.5,0.122391
1,9566,4624,4625,0.8,0.122391
1,9582,20781,20784,0.5,0.122391
1,9839,6650,6651,0.8,0.122391
1,10078,2685,2686,0.8,0.122391
1,10696,17811,17812,0.5,0.122391
1,10815,5634,5635,0.5,0.122391
1,10873,25607,25608,0.8,0.122391
1,10873,25607,25609,0.5,0.122391
1,10873,25608,25609,0.5,0.122391
1,10881,24552,24553,0.5,0.122391
1,10959,24570,24571,0.5,0.122391
1,10959,24571,24572,0.5,0.122391
1,10980,26243,26244,0.8,0.122391
1,11048,24837,24838,0.8,0.122391
1,11070,25273,25274,0.5,0.122391
1,11070,25274,25276,0.5,0.122391
1,11262,25183,25184,0.5,0.122391
1,11262,25183,25185,0.5,0.122391
1,11346,27925,27926,0.5,0.122391
1,11364,27007,27009,0.5,0.122391
1,11364,27009,27011,0.5,0.122391
1,11469,27306,27307,0.5,0.122391
1,11514,28102,28103,0.5,0.122391
1,11517,26742,26743,0.5,0.122391
1,11517,26742,26744,0.5,0.122391
1,11517,26743,26744,0.8,0.122391
1,11537,27983,27984,0.5,0.122391
1,11614,29533,29534,0.8,0.122391
1,11956,34842,34845,0.8,0.122391
1,11961,33143,33144,0.8,0.122391
1,11996,29785,29786,0.8,0.122391
1,11996,31255,31260,0.5,0.122391
1,12014,35156,35162,0.5,0.122391
1,12051,32587,32593,0.8,0.122391
1,12115,34541,34544,0.5,0.122391
1,12115,34542,34544,0.5,0.122391
1,12134,32315,32316,0.5,0.122391
1,12134,32315,32318,0.5,0.122391
1,12134,32316,32318,0.8,0.122391
1,12197,30199,30200,0.5,0.122391
1,12211,30157,30158,0.5,0.122391
1,12308,31389,31391,0.5,0.122391
1,12609,30879,30881,0.8,0.122391
1,12627,35018,35020,0.5,0.122391
1,12798,29630,29631,0.5,0.122391
1,12798,29630,29632,0.5,0.122391
1,12866,30060,30061,0.8,0.122391
1,12866,30060,30062,0.8,0.122391
1,12866,30061,30062,0.8,0.122391
1,12902,33110,33111,0.5,0.122391
1,12949,33939,33940,0.5,0.122391
1,13015,34838,34840,0.5,0.122391
1,13238,33139,33141,0.5,0.122391
1,13312,36106,36108,0.5,0.122391
1,13339,35949,35950,0.5,0.122391
1,13517,37033,37034,0.8,0.122391
1,13592,37810,37813,0.8,0.122391
1,13774,37360,37362,0.5,0.122391
1,13876,36268,36270,0.8,0.122391
1,13968,36834,36835,0.5,0.122391
1,14012,38717,38718,0.8,0.122391
1,14178,36959,36960,0.5,0.122391
1,14178,36959,36961,0.5,0.122391
1,14189,36522,36523,0.5,0.122391
1,14249,36472,36474,0.5,0.122391
1,14447,38079,38081,0.5,0.122391
1,14447,38080,38081,0.5,0.122391
1,14582,39585,39589,0.5,0.122391
1,14586,39174,39176,0.5,0.122391
1,14630,39681,39684,0.8,0.122391
1,14912,41796,41797,0.5,0.122391
1,14913,42984,42986,0.5,0.122391
1,14913,42986,42987,0.5,0.122391
1,14934,43248,43250,0.5,0.122391
1,14943,42996,42999,0.5,0.122391
1,15020,42965,42967,0.8,0.122391
1,15020,42881,42883,0.5,0.122391
1,15111,44022,44024,0.5,0.122391
1,15281,43012,43013,0.5,0.122391
1,15423,44382,44383,0.5,0.122391
1,15463,44420,44423,0.5,0.122391
1,15473,44296,44299,0.8,0.122391
1,15563,46011,46013,0.5,0.122391
1,15563,46011,46014,0.5,0.122391
1,15563,46012,46013,0.5,0.122391
1,15563,46012,46014,0.5,0.122391
1,15563,46013,46014,0.8,0.122391
1,15641,44789,44790,0.5,0.122391
1,15701,45132,45133,0.5,0.122391
1,15809,45015,45016,0.5,0.122391
1,15809,45015,45018,0.8,0.122391
1,15809,45016,45018,0.5,0.122391
1,15893,47099,47100,0.8,0.122391
1,16120,49211,49212,0.5,0.122391
1,16268,48057,48058,0.8,0.122391
1,16343,50463,50465,0.5,0.122391
1,16371,49056,49057,0.8,0.122391
1,16383,47776,47781,0.5,0.122391
1,16383,47780,47781,0.5,0.122391
1,16503,49394,49395,0.5,0.122391
1,16503,46775,46779,0.5,0.122391
1,16503,46778,46779,0.5,0.122391
1,16514,47171,47172,0.5,0.122391
1,16517,46941,46943,0.5,0.122391
1,16621,53235,53236,0.5,0.122391
1,16645,52241,52242,0.5,0.122391
