id,sex, age, ecactivity, worktype, commutetime, town, x, y, apartment
26819,M,59,working,industry,45 to 60 mins,DB,-571852,-1.20111e+06,11570
5071,M,59,working,publicsector,not commuting,Ho,-563425,-1.20167e+06,5804
30370,M,68,retired,undef,not commuting,Du,-566854,-1.19518e+06,12163
41297,M,58,working,industry,not commuting,Mu,-571215,-1.19601e+06,15058
33262,M,56,retired,undef,not commuting,Du,-565843,-1.19509e+06,12822
39049,F,51,at home,undef,not commuting,Mi,-570167,-1.20595e+06,14619
32616,M,15,student,undef,not commuting,Du,-565750,-1.19516e+06,13187
37284,F,43,working,education,not commuting,Lu,-568977,-1.20372e+06,13988
6301,M,23,student,undef,60 to 90 mins,Ho,-564476,-1.2028e+06,5346
7258,F,29,working,industry,not commuting,Ho,-565255,-1.20153e+06,2719
10815,M,35,working,adminetc,not commuting,Ho,-564389,-1.202e+06,573
38560,F,76,retired,undef,not commuting,Lu,-568478,-1.20369e+06,14423
11200,M,18,student,undef,not commuting,Ho,-564217,-1.20254e+06,423
29819,F,50,working,publicsector,not commuting,Du,-566952,-1.19503e+06,12143
28053,F,31,working,tradeandmoto,15 to 30 min,DB,-572015,-1.20087e+06,11590
26756,F,29,working,construction,not commuting,DB,-571525,-1.20116e+06,11486
24728,M,45,working,construction,less than 15min,Ce,-577624,-1.19562e+06,11103
22086,F,42,working,transportation,not commuting,Ho,-563841,-1.20291e+06,9777
7371,F,60,retired,undef,not commuting,Ho,-563667,-1.20164e+06,6535
48443,F,81,retired,undef,not commuting,Ra,-560255,-1.19516e+06,16427
51187,M,49,working,transportation,not commuting,Ro,-558237,-1.199e+06,16873
8420,F,22,working,adminetc,not commuting,Ho,-564389,-1.20249e+06,7211
18630,M,26,working,tradeandmoto,15 to 30 min,Ho,-563681,-1.20225e+06,7513
52777,M,37,working,health,not commuting,Ro,-560632,-1.20019e+06,17339
50463,F,26,at home,undef,not commuting,Ra,-560660,-1.19517e+06,16343
13464,M,54,at home,undef,not commuting,Ho,-563653,-1.2025e+06,7943
47801,M,50,at home,undef,not commuting,Ra,-561043,-1.19544e+06,15973
51970,M,5,at home,undef,not commuting,Ro,-560590,-1.20071e+06,17347
6677,M,44,working,industry,30 to 45 mins,Ho,-564891,-1.20162e+06,3900
55404,M,28,working,construction,less than 15min,Su,-555482,-1.20171e+06,17708
11537,F,20,working,education,not commuting,Ho,-565366,-1.20154e+06,3090
46090,F,7,student,undef,not commuting,Pr,-575589,-1.20374e+06,15569
54008,F,35,working,transportation,15 to 30 min,SP,-574449,-1.19906e+06,17445
17839,M,4,at home,undef,not commuting,Ho,-565333,-1.20171e+06,2490
30187,M,18,student,undef,not commuting,Du,-566240,-1.1939e+06,12122
38419,F,33,working,construction,not commuting,Lu,-568903,-1.20382e+06,14051
27913,M,64,working,industry,not commuting,DB,-571664,-1.20153e+06,11326
23702,F,38,working,transportation,not commuting,Ho,-565519,-1.2016e+06,3146
28417,F,71,retired,undef,not commuting,DB,-571432,-1.20112e+06,11450
32646,M,67,retired,undef,not commuting,Du,-566546,-1.19511e+06,12056
16051,M,25,working,transportation,not commuting,Ho,-564435,-1.2019e+06,1090
3818,F,46,working,industry,not commuting,Ho,-565203,-1.2016e+06,4707
