id,sex, age, ecactivity, worktype, commutetime, town, x, y, apartment
0,F,52,working,tradeandmoto,not commuting,Ho,-564818,-1.20172e+06,1395
1,M,55,retired,undef,not commuting,Ho,-564818,-1.20172e+06,1395
2,M,50,at home,undef,not commuting,Ho,-564818,-1.20172e+06,1395
3,M,32,working,industry,not commuting,Ho,-564818,-1.20172e+06,1395
4,F,76,working,industry,not commuting,Ho,-563611,-1.2024e+06,1681
5,M,42,at home,undef,not commuting,Ho,-563751,-1.20307e+06,1755
6,F,45,working,eatinghousing,not commuting,Ho,-564558,-1.20215e+06,865
7,M,18,student,undef,not commuting,Ho,-564558,-1.20215e+06,865
8,M,47,working,adminetc,not commuting,Ho,-564558,-1.20215e+06,865
9,M,25,at home,undef,not commuting,Ho,-564558,-1.20215e+06,865
10,M,51,at home,undef,not commuting,Ho,-564189,-1.20283e+06,68
11,M,32,working,education,not commuting,Ho,-563826,-1.20274e+06,1729
12,M,38,working,industry,not commuting,Ho,-565331,-1.20165e+06,1281
13,F,19,student,undef,not commuting,Ho,-564668,-1.20198e+06,158
14,F,43,working,tradeandmoto,not commuting,Ho,-564668,-1.20198e+06,158
15,M,21,working,construction,15 to 30 min,Ho,-565039,-1.20165e+06,1400
16,F,23,student,undef,15 to 30 min,Ho,-565039,-1.20165e+06,1400
17,F,81,retired,undef,not commuting,Ho,-563613,-1.2018e+06,1555
18,M,55,retired,undef,not commuting,Ho,-563613,-1.2018e+06,1555
19,F,70,retired,undef,not commuting,Ho,-563613,-1.2018e+06,1555
20,F,30,at home,undef,not commuting,Ho,-563232,-1.20163e+06,1635
21,M,83,retired,undef,not commuting,Ho,-563659,-1.20235e+06,1678
22,M,57,working,tradeandmoto,not commuting,Ho,-563659,-1.20235e+06,1678
23,M,81,retired,undef,not commuting,Ho,-564294,-1.20179e+06,1205
24,F,79,retired,undef,not commuting,Ho,-564294,-1.20179e+06,1205
25,F,40,working,industry,not commuting,Ho,-564917,-1.20184e+06,1391
26,M,21,working,tradeandmoto,not commuting,Ho,-564917,-1.20184e+06,1391
27,F,37,at home,undef,not commuting,Ho,-564631,-1.20218e+06,754
28,M,48,at home,undef,not commuting,Ho,-564189,-1.20283e+06,68
29,M,35,working,industry,not commuting,Ho,-564008,-1.20251e+06,1938
30,F,50,working,adminetc,not commuting,Ho,-564008,-1.20251e+06,1938
31,M,52,working,eatinghousing,not commuting,Ho,-564690,-1.20221e+06,820
32,F,67,retired,undef,not commuting,Ho,-565702,-1.20171e+06,1294
33,M,65,retired,undef,not commuting,Ho,-563614,-1.20255e+06,1685
34,M,24,at home,undef,not commuting,Ho,-564405,-1.20177e+06,1267
35,F,21,working,construction,not commuting,Ho,-564405,-1.20177e+06,1267
36,M,0,at home,undef,not commuting,Ho,-564405,-1.20177e+06,1267
37,F,52,working,health,not commuting,Ho,-563949,-1.20335e+06,40
38,F,21,at home,undef,not commuting,Ho,-563949,-1.20335e+06,40
39,M,43,at home,undef,not commuting,Ho,-563232,-1.20163e+06,1635
40,F,0,at home,undef,not commuting,Ho,-564354,-1.20314e+06,1545
41,F,22,student,undef,30 to 45 mins,Ho,-564354,-1.20314e+06,1545
42,F,31,working,construction,not commuting,Ho,-564791,-1.20187e+06,1394
43,M,10,student,undef,not commuting,Ho,-564791,-1.20187e+06,1394
44,M,40,working,construction,not commuting,Ho,-564791,-1.20187e+06,1394
45,M,50,working,tradeandmoto,15 to 30 min,Ho,-563862,-1.2024e+06,1782
46,F,44,working,education,not commuting,Ho,-564972,-1.20186e+06,1393
47,M,21,at home,undef,not commuting,Ho,-564972,-1.20186e+06,1393
48,M,24,student,undef,15 to 30 min,Ho,-564972,-1.20186e+06,1393
49,M,9,student,undef,not commuting,Ho,-564972,-1.20186e+06,1393
50,F,23,at home,undef,not commuting,Ho,-564972,-1.20186e+06,1393
51,F,61,retired,undef,not commuting,Ho,-563767,-1.20298e+06,1757
52,M,76,retired,undef,not commuting,Ho,-563663,-1.20281e+06,1732
53,F,27,working,education,not commuting,Ho,-564100,-1.20228e+06,170
54,M,2,at home,undef,not commuting,Ho,-564100,-1.20228e+06,170
55,M,13,student,undef,not commuting,Ho,-563477,-1.20168e+06,1558
56,F,33,at home,undef,not commuting,Ho,-563477,-1.20168e+06,1558
57,F,10,student,undef,not commuting,Ho,-563477,-1.20168e+06,1558
58,F,10,student,undef,not commuting,Ho,-563477,-1.20168e+06,1558
59,M,38,working,industry,not commuting,Ho,-563425,-1.20167e+06,1559
60,F,54,working,tradeandmoto,not commuting,Ho,-562092,-1.20165e+06,1898
61,M,33,at home,undef,not commuting,Ho,-562092,-1.20165e+06,1898
62,M,31,at home,undef,not commuting,Ho,-562092,-1.20165e+06,1898
63,F,30,working,health,not commuting,Ho,-563885,-1.20292e+06,1758
64,M,35,working,tradeandmoto,not commuting,Ho,-563885,-1.20292e+06,1758
65,M,12,student,undef,not commuting,Ho,-563885,-1.20292e+06,1758
66,F,11,student,undef,not commuting,Ho,-563885,-1.20292e+06,1758
67,F,49,working,industry,not commuting,Ho,-564791,-1.20187e+06,1394
68,M,55,working,adminetc,not commuting,Ho,-564791,-1.20187e+06,1394
69,F,47,working,publicsector,not commuting,Ho,-564694,-1.20265e+06,1643
70,F,20,working,eatinghousing,not commuting,Ho,-564694,-1.20265e+06,1643
71,M,22,at home,undef,not commuting,Ho,-564694,-1.20265e+06,1643
72,F,50,working,industry,not commuting,Ho,-563901,-1.2033e+06,2001
73,M,55,working,agriculture,60 to 90 mins,Ho,-563901,-1.2033e+06,2001
74,M,999,retired,undef,not commuting,Ho,-563616,-1.20226e+06,1677
75,F,20,student,undef,not commuting,Ho,-563414,-1.20148e+06,1564
76,F,18,student,undef,not commuting,Ho,-563414,-1.20148e+06,1564
77,F,13,student,undef,not commuting,Ho,-563414,-1.20148e+06,1564
78,F,42,working,publicsector,not commuting,Ho,-563414,-1.20148e+06,1564
79,M,30,working,transportation,not commuting,Ho,-564038,-1.20209e+06,1611
80,M,46,working,tradeandmoto,not commuting,Ho,-563679,-1.20256e+06,1683
81,F,79,retired,undef,not commuting,Ho,-563665,-1.20195e+06,1567
