type,vertex1,vertex2,intensity, probability
1,0,0,1,0.8
1,1,1,0.25,0.8
1,2,2,0.25,0.8
1,3,3,1,0.8
1,4,4,1,0.8
1,5,5,0.25,0.8
1,6,6,1,0.8
1,7,7,1,0.8
1,8,8,0.25,0.8
1,9,9,0.25,0.8
1,10,10,1,0.8
1,11,11,1,0.8
1,12,12,1,0.8
1,13,13,0.25,0.8
1,14,14,1,0.8
1,15,15,1,0.8
1,16,16,1,0.8
1,17,17,0.25,0.8
1,18,18,0.25,0.8
1,19,19,1,0.8
1,20,20,1,0.8
1,21,21,1,0.8
1,22,22,0.25,0.8
1,23,23,0.25,0.8
1,24,24,1,0.8
1,25,25,0.25,0.8
1,26,26,1,0.8
1,27,27,1,0.8
1,28,28,1,0.8
1,29,29,1,0.8
1,30,30,1,0.8
1,31,31,1,0.8
1,32,32,1,0.8
1,33,33,0.25,0.8
1,34,34,1,0.8
1,35,35,0.25,0.8
1,36,36,1,0.8
1,37,37,1,0.8
1,38,38,1,0.8
1,39,39,1,0.8
1,40,40,1,0.8
1,41,41,0.25,0.8
1,42,42,1,0.8
1,43,43,1,0.8
1,44,44,0.25,0.8
1,45,45,0.25,0.8
1,46,46,1,0.8
1,47,47,0.25,0.8
1,48,48,1,0.8
1,49,49,1,0.8
1,50,50,1,0.8
1,51,51,0.25,0.8
1,52,52,0.25,0.8
1,53,53,1,0.8
1,54,54,0.25,0.8
1,55,55,1,0.8
1,56,56,1,0.8
1,57,57,1,0.8
1,58,58,1,0.8
1,59,59,1,0.8
1,60,60,0.25,0.8
1,61,61,1,0.8
1,62,62,1,0.8
1,63,63,1,0.8
1,64,64,1,0.8
1,65,65,0.25,0.8
1,66,66,0.25,0.8
1,67,67,0.25,0.8
1,68,68,1,0.8
1,69,69,0.25,0.8
1,70,70,0.25,0.8
1,71,71,1,0.8
1,72,72,1,0.8
1,73,73,1,0.8
1,74,74,0.25,0.8
1,75,75,0.25,0.8
1,76,76,1,0.8
1,77,77,0.25,0.8
1,78,78,1,0.8
1,79,79,1,0.8
1,80,80,0.25,0.8
1,81,81,1,0.8
1,82,82,1,0.8
1,83,83,1,0.8
