type ,sex, age, ecactivity, worktype, commutetime, town,x,y
0,M,37.5,working,education,not commuting,529796,1051.25,5566.18
1,M,1.5,at home,undef,not commuting,529796,1051.13,5566.27
2,F,67.5,retired,undef,not commuting,529796,1051.17,5566.46
3,F,42.5,working,tradeandmoto,15 to 30 min,529796,1051.91,5566.48
4,F,42.5,working,publicsector,not commuting,529796,1051.55,5566.83
5,M,32.5,at home,undef,not commuting,529796,1051.69,5565.95
6,M,52.5,working,industry,not commuting,529796,1051.17,5566.23
7,M,72.5,working,adminetc,not commuting,529796,1051.57,5566.75
8,F,37.5,at home,undef,not commuting,529796,1051.95,5566.39
9,F,57.5,at home,undef,not commuting,529796,1051.47,5566.24
10,M,32.5,working,industry,not commuting,529796,1051.61,5566.19
11,F,57.5,working,industry,not commuting,529796,1052.02,5566.72
12,M,37.5,working,it,not commuting,529796,1051.61,5566.49
13,F,57.5,at home,undef,not commuting,529796,1051.57,5565.79
14,F,12.5,student,undef,not commuting,529796,1051.27,5566.11
15,M,32.5,working,it,15 to 30 min,529796,1051.7,5566.8
16,F,62.5,working,tradeandmoto,45 to 60 mins,529796,1051.68,5565.86
17,M,22.5,at home,undef,not commuting,529796,1051.29,5566.06
18,M,37.5,at home,undef,not commuting,529796,1051.65,5566.77
19,F,52.5,working,it,30 to 45 mins,529796,1052.17,5566.24
20,M,47.5,working,tradeandmoto,30 to 45 mins,529796,1051.97,5566.8
21,F,37.5,working,eatinghousing,not commuting,529796,1052,5566.5
22,F,67.5,retired,undef,not commuting,529796,1051.7,5566.46
23,M,67.5,retired,undef,not commuting,529796,1051.26,5566.84
24,M,37.5,working,it,not commuting,529796,1051.64,5566.61
25,F,32.5,at home,undef,not commuting,529796,1052,5566.13
26,F,27.5,working,tradeandmoto,45 to 60 mins,529796,1052.13,5565.71
27,F,47.5,working,agriculture,more than 90 mins,529796,1051.43,5565.96
28,M,32.5,working,construction,not commuting,529796,1052.11,5566.1
29,F,42.5,working,it,not commuting,529796,1051.88,5566.6
30,F,16.5,student,undef,not commuting,529796,1051.24,5566.26
31,M,52.5,working,eatinghousing,not commuting,529796,1052.16,5566.3
32,M,62.5,working,construction,not commuting,529796,1051.55,5566.16
33,F,72.5,retired,undef,not commuting,529796,1052,5566.78
34,M,27.5,working,eatinghousing,not commuting,529796,1051.92,5566.36
35,F,77.5,retired,undef,not commuting,529796,1051.89,5566.75
36,F,37.5,working,adminetc,less than 15min,529796,1051.66,5565.63
37,M,16.5,student,undef,45 to 60 mins,529796,1052.03,5565.61
38,F,8,student,undef,not commuting,529796,1051.1,5566.25
39,F,37.5,working,tradeandmoto,not commuting,529796,1051.36,5566.39
40,M,8,student,undef,not commuting,529796,1051.22,5566.57
41,M,77.5,retired,undef,not commuting,529796,1051.29,5565.97
42,F,16.5,working,health,not commuting,529796,1051.28,5566.65
43,F,42.5,working,industry,not commuting,529796,1051.13,5566.22
44,F,72.5,retired,undef,not commuting,529796,1051.86,5565.76
45,F,62.5,retired,undef,not commuting,529796,1051.41,5566.13
46,M,37.5,working,industry,not commuting,529796,1051.65,5566.43
47,F,77.5,retired,undef,not commuting,529796,1051.95,5566.65
48,F,47.5,working,banks,not commuting,529796,1052.05,5565.92
49,M,57.5,working,industry,not commuting,529796,1051.37,5566.42
50,F,22.5,working,adminetc,not commuting,529796,1051.92,5566.79
51,F,77.5,retired,undef,not commuting,529796,1051.74,5565.68
52,F,72.5,retired,undef,not commuting,529796,1052.02,5565.82
53,M,19,student,undef,not commuting,529796,1051.24,5565.8
54,F,37.5,at home,undef,not commuting,529796,1051.81,5566.55
55,M,37.5,working,construction,not commuting,529796,1051.54,5566.17
56,F,37.5,working,transportation,30 to 45 mins,529796,1051.75,5566.68
57,M,32.5,working,education,not commuting,529796,1051.09,5566.43
58,F,57.5,working,it,not commuting,529796,1051.52,5566.24
59,M,37.5,working,banks,not commuting,529796,1052.05,5566.25
60,M,72.5,retired,undef,not commuting,529796,1051.56,5565.89
61,F,19,working,eatinghousing,not commuting,529796,1051.13,5565.64
62,M,27.5,working,education,30 to 45 mins,529796,1052.3,5566.69
63,M,27.5,working,industry,not commuting,529796,1051.81,5566.78
64,F,32.5,working,tradeandmoto,not commuting,529796,1052.16,5566.45
65,M,3.5,at home,undef,not commuting,529796,1051.37,5566.34
66,F,67.5,retired,undef,not commuting,529796,1052.04,5565.7
67,F,3.5,at home,undef,not commuting,529796,1052.13,5566.36
68,F,8,student,undef,not commuting,529796,1051.29,5566.32
