type,sex, age, ecactivity, worktype, commutetime, town,x,y
0,F,52,working,tradeandmoto,not commuting,586021,-563811,-1.20256e+06
1,M,55,at home,undef,not commuting,586021,-563811,-1.20256e+06
2,M,50,at home,undef,not commuting,586021,-563811,-1.20256e+06
3,M,32,working,industry,not commuting,586021,-563811,-1.20256e+06
4,F,76,working,industry,not commuting,586021,-564531,-1.20237e+06
5,M,42,at home,undef,not commuting,586021,-565790,-1.20225e+06
6,F,45,working,eatinghousing,not commuting,586021,-563984,-1.20342e+06
7,M,18,student,undef,not commuting,586021,-563984,-1.20342e+06
8,M,47,working,adminetc,not commuting,586021,-563984,-1.20342e+06
9,M,25,at home,undef,not commuting,586021,-563984,-1.20342e+06
10,M,51,at home,undef,not commuting,586021,-563861,-1.20261e+06
11,M,32,working,education,not commuting,586021,-565390,-1.20165e+06
12,M,38,working,industry,not commuting,586021,-564383,-1.20215e+06
13,F,19,at home,undef,not commuting,586021,-565688,-1.20215e+06
14,F,43,working,tradeandmoto,not commuting,586021,-565688,-1.20215e+06
15,M,21,at home,undef,not commuting,586021,-564111,-1.20198e+06
16,F,23,working,industry,not commuting,586021,-564111,-1.20198e+06
17,F,81,retired,undef,not commuting,586021,-564288,-1.20326e+06
18,M,55,working,industry,not commuting,586021,-564288,-1.20326e+06
19,F,70,retired,undef,not commuting,586021,-565902,-1.2022e+06
20,F,30,at home,undef,not commuting,586021,-565830,-1.20221e+06
21,M,83,retired,undef,not commuting,586021,-564173,-1.20307e+06
22,M,57,at home,undef,not commuting,586021,-564173,-1.20307e+06
23,M,81,retired,undef,not commuting,586021,-563425,-1.20167e+06
24,F,79,retired,undef,not commuting,586021,-563425,-1.20167e+06
25,F,40,working,publicsector,not commuting,586021,-563741,-1.20263e+06
26,M,21,at home,undef,not commuting,586021,-563741,-1.20263e+06
27,F,37,working,industry,not commuting,586021,-564534,-1.20214e+06
28,M,48,working,tradeandmoto,not commuting,586021,-563796,-1.20251e+06
29,M,35,at home,undef,not commuting,586021,-563681,-1.20225e+06
30,F,50,at home,undef,not commuting,586021,-563681,-1.20225e+06
31,M,52,working,industry,not commuting,586021,-565646,-1.20203e+06
32,F,67,retired,undef,not commuting,586021,-563984,-1.20271e+06
33,M,65,retired,undef,not commuting,586021,-564646,-1.20256e+06
34,M,24,working,industry,not commuting,586021,-563644,-1.20265e+06
35,F,21,at home,undef,not commuting,586021,-563644,-1.20265e+06
36,M,0,at home,undef,not commuting,586021,-563644,-1.20265e+06
37,F,52,working,industry,not commuting,586021,-563796,-1.20251e+06
38,F,21,at home,undef,not commuting,586021,-563796,-1.20251e+06
39,M,43,working,construction,not commuting,586021,-563796,-1.20251e+06
40,F,0,at home,undef,not commuting,586021,-563425,-1.20167e+06
41,F,22,at home,undef,not commuting,586021,-563425,-1.20167e+06
42,F,31,at home,undef,not commuting,586021,-563902,-1.20305e+06
43,M,10,student,undef,not commuting,586021,-563902,-1.20305e+06
44,M,40,working,eatinghousing,not commuting,586021,-563902,-1.20305e+06
45,M,50,at home,undef,not commuting,586021,-564388,-1.20155e+06
46,F,44,working,industry,less than 15min,586021,-563644,-1.20265e+06
47,M,21,working,construction,15 to 30 min,586021,-563644,-1.20265e+06
48,M,24,working,construction,not commuting,586021,-563644,-1.20265e+06
49,M,9,student,undef,not commuting,586021,-563644,-1.20265e+06
50,F,23,at home,undef,not commuting,586021,-563644,-1.20265e+06
51,F,61,retired,undef,not commuting,586021,-565062,-1.20278e+06
52,M,76,retired,undef,not commuting,586021,-564877,-1.20134e+06
53,F,27,working,education,not commuting,586021,-563365,-1.20146e+06
54,M,2,at home,undef,not commuting,586021,-563365,-1.20146e+06
55,M,13,student,undef,not commuting,586021,-565578,-1.20202e+06
56,F,33,working,publicsector,not commuting,586021,-565578,-1.20202e+06
57,F,10,student,undef,not commuting,586021,-565578,-1.20202e+06
58,F,10,student,undef,not commuting,586021,-565578,-1.20202e+06
59,M,38,working,publicsector,not commuting,586021,-564488,-1.20247e+06
60,F,54,at home,undef,not commuting,586021,-563365,-1.20146e+06
61,M,33,working,tradeandmoto,not commuting,586021,-563365,-1.20146e+06
62,M,31,at home,undef,not commuting,586021,-563365,-1.20146e+06
63,F,30,at home,undef,not commuting,586021,-563951,-1.20251e+06
64,M,35,working,adminetc,not commuting,586021,-563951,-1.20251e+06
65,M,12,student,undef,not commuting,586021,-563951,-1.20251e+06
66,F,11,student,undef,not commuting,586021,-563951,-1.20251e+06
67,F,49,working,industry,not commuting,586021,-564354,-1.20314e+06
68,M,55,at home,undef,not commuting,586021,-564354,-1.20314e+06
69,F,47,at home,undef,not commuting,586021,-564818,-1.20172e+06
70,F,20,at home,undef,not commuting,586021,-564818,-1.20172e+06
71,M,22,working,health,not commuting,586021,-564818,-1.20172e+06
72,F,50,working,tradeandmoto,not commuting,586021,-564917,-1.20184e+06
73,M,55,working,industry,not commuting,586021,-564917,-1.20184e+06
74,M,999,working,adminetc,not commuting,586021,-563811,-1.20256e+06
75,F,20,at home,undef,not commuting,586021,-564854,-1.20183e+06
76,F,18,student,undef,30 to 45 mins,586021,-564854,-1.20183e+06
77,F,13,student,undef,not commuting,586021,-564854,-1.20183e+06
