T,S,S_s,E,I_n,I_a,I_s,I_d,R_d,R_u,D_d,D_u,day
0.0,1221,0,0,15,15,70,0,0,0,0,0,0
0.020479839150240896,1220,1,0,15,15,70,0,0,0,0,0,0
0.02179649583133021,1219,2,0,15,15,70,0,0,0,0,0,0
0.02994953650295986,1219,2,0,15,14,71,0,0,0,0,0,0
0.049939876828874935,1218,3,0,15,14,71,0,0,0,0,0,0
0.05132070040959256,1217,4,0,15,14,71,0,0,0,0,0,0
0.052044660952641014,1216,5,0,15,14,71,0,0,0,0,0,0
0.0621910363186844,1215,6,0,15,14,71,0,0,0,0,0,0
0.0658427202194448,1214,7,0,15,14,71,0,0,0,0,0,0
0.07902346201998023,1213,8,0,15,14,71,0,0,0,0,0,0
0.09097390286927078,1213,8,0,15,13,72,0,0,0,0,0,0
0.09639240142458257,1213,8,0,15,12,73,0,0,0,0,0,0
0.10004223206132128,1212,8,1,15,12,73,0,0,0,0,0,0
0.1136987351276239,1211,9,1,15,12,73,0,0,0,0,0,0
0.11705063877188027,1211,9,1,15,11,74,0,0,0,0,0,0
0.12354433720704425,1211,9,1,15,11,73,1,0,0,0,0,0
0.13995552231110567,1210,10,1,15,11,73,1,0,0,0,0,0
0.15529759274929197,1210,10,1,15,11,72,1,0,1,0,0,0
0.16492774868949545,1209,11,1,15,11,72,1,0,1,0,0,0
0.18293587272503375,1208,11,2,15,11,72,1,0,1,0,0,0
0.19421997814228995,1207,12,2,15,11,72,1,0,1,0,0,0
0.19913667707057034,1207,12,2,15,10,73,1,0,1,0,0,0
0.22994783764882307,1206,13,2,15,10,73,1,0,1,0,0,0
0.23334405459342103,1205,14,2,15,10,73,1,0,1,0,0,0
0.23799727809453766,1204,15,2,15,10,73,1,0,1,0,0,0
0.2454973461007342,1204,15,2,15,10,72,2,0,1,0,0,0
0.25943456687167366,1204,15,2,15,10,71,2,0,2,0,0,0
0.2684165643108806,1203,16,2,15,10,71,2,0,2,0,0,0
0.269849615006821,1204,15,2,15,10,71,2,0,2,0,0,0
0.27498612976793446,1203,16,2,15,10,71,2,0,2,0,0,0
0.2852925356127208,1203,16,2,15,10,70,3,0,2,0,0,0
0.2855702919595364,1203,16,1,15,11,70,3,0,2,0,0,0
0.2900994709267781,1202,17,1,15,11,70,3,0,2,0,0,0
0.29796049598276464,1202,17,1,15,11,69,4,0,2,0,0,0
0.30242338824367604,1203,16,1,15,11,69,4,0,2,0,0,0
0.3119695637792007,1202,17,1,15,11,69,4,0,2,0,0,0
0.3481683141549826,1201,18,1,15,11,69,4,0,2,0,0,0
0.35187010349094244,1200,18,2,15,11,69,4,0,2,0,0,0
0.35434579365625357,1199,19,2,15,11,69,4,0,2,0,0,0
0.36199025763970494,1200,18,2,15,11,69,4,0,2,0,0,0
0.3797288669338745,1199,18,3,15,11,69,4,0,2,0,0,0
0.38377858170906304,1200,17,3,15,11,69,4,0,2,0,0,0
0.419218812287222,1199,17,4,15,11,69,4,0,2,0,0,0
0.44127101998794305,1198,18,4,15,11,69,4,0,2,0,0,0
0.44429060406976456,1197,19,4,15,11,69,4,0,2,0,0,0
0.46532974818212713,1197,19,4,15,11,68,4,0,3,0,0,0
0.47935893248102457,1197,19,4,15,10,69,4,0,3,0,0,0
