T,S,S_s,E,I_n,I_a,I_s,I_d,R_d,R_u,D_d,D_u,day
0.0,1221,0,0,15,15,70,0,0,0,0,0,0
0.01907251826996144,1221,0,0,15,14,71,0,0,0,0,0,0
0.02149280956885296,1220,1,0,15,14,71,0,0,0,0,0,0
0.022725140200458144,1219,2,0,15,14,71,0,0,0,0,0,0
0.07971426166484315,1218,3,0,15,14,71,0,0,0,0,0,0
0.0971237238554573,1217,4,0,15,14,71,0,0,0,0,0,0
0.10202371566104153,1217,4,0,15,14,70,0,0,1,0,0,0
0.11283341171841671,1216,4,1,15,14,70,0,0,1,0,0,0
0.11461305387618603,1215,4,2,15,14,70,0,0,1,0,0,0
0.12211769519698396,1214,4,3,15,14,70,0,0,1,0,0,0
0.13252275101013922,1214,4,3,15,13,71,0,0,1,0,0,0
0.14781871133495258,1214,4,3,14,13,71,0,0,2,0,0,0
0.15116438595933437,1214,4,3,14,12,72,0,0,2,0,0,0
0.1653264109738351,1213,5,3,14,12,72,0,0,2,0,0,0
0.19338464311506118,1212,6,3,14,12,72,0,0,2,0,0,0
0.19606872557466132,1211,6,4,14,12,72,0,0,2,0,0,0
0.2186319971041956,1211,6,4,14,11,73,0,0,2,0,0,0
0.22079240021559693,1210,7,4,14,11,73,0,0,2,0,0,0
0.24237127732269967,1209,8,4,14,11,73,0,0,2,0,0,0
0.251560669447591,1208,9,4,14,11,73,0,0,2,0,0,0
0.25539790459526673,1207,10,4,14,11,73,0,0,2,0,0,0
0.26951485086284177,1206,11,4,14,11,73,0,0,2,0,0,0
0.26993412581219806,1206,11,4,14,11,72,1,0,2,0,0,0
0.2700920833913448,1205,12,4,14,11,72,1,0,2,0,0,0
0.2919393740505332,1204,12,5,14,11,72,1,0,2,0,0,0
0.3111198025933812,1203,13,5,14,11,72,1,0,2,0,0,0
0.3251578646599112,1202,13,6,14,11,72,1,0,2,0,0,0
0.32613638770705716,1201,14,6,14,11,72,1,0,2,0,0,0
0.33170669189235363,1200,15,6,14,11,72,1,0,2,0,0,0
0.3435299807562434,1199,16,6,14,11,72,1,0,2,0,0,0
0.34931737530415335,1198,17,6,14,11,72,1,0,2,0,0,0
0.3555726855393026,1197,18,6,14,11,72,1,0,2,0,0,0
0.35897298183160326,1196,19,6,14,11,72,1,0,2,0,0,0
0.3686488653317052,1197,18,6,14,11,72,1,0,2,0,0,0
0.38548831622020285,1197,18,6,14,10,73,1,0,2,0,0,0
0.38593003620525623,1196,19,6,14,10,73,1,0,2,0,0,0
0.3890509561434795,1195,20,6,14,10,73,1,0,2,0,0,0
0.40825881043353945,1195,20,6,14,10,72,1,0,3,0,0,0
0.42459338928535423,1194,21,6,14,10,72,1,0,3,0,0,0
0.4267102374347987,1194,21,5,14,11,72,1,0,3,0,0,0
0.42760870782224164,1194,21,5,14,11,71,2,0,3,0,0,0
0.4452981365621531,1195,20,5,14,11,71,2,0,3,0,0,0
0.4456754591699535,1195,20,5,14,11,70,2,0,4,0,0,0
0.448967452852125,1194,21,5,14,11,70,2,0,4,0,0,0
0.45371562099452245,1193,22,5,14,11,70,2,0,4,0,0,0
0.46661260874203875,1192,23,5,14,11,70,2,0,4,0,0,0
0.4923500646149873,1191,24,5,14,11,70,2,0,4,0,0,0
0.5006130836915298,1190,25,5,14,11,70,2,0,4,0,0,0
0.5013399951717359,1189,26,5,14,11,70,2,0,4,0,0,0
0.5124098322447114,1190,25,5,14,11,70,2,0,4,0,0,0
0.5202650709932857,1189,26,5,14,11,70,2,0,4,0,0,0
0.5246597211621052,1190,25,5,14,11,70,2,0,4,0,0,0
0.5260887485152465,1189,25,6,14,11,70,2,0,4,0,0,0
0.5327338814315449,1188,26,6,14,11,70,2,0,4,0,0,0
0.5337056633280973,1187,27,6,14,11,70,2,0,4,0,0,0
0.5412553356255482,1186,28,6,14,11,70,2,0,4,0,0,0
0.5417093751681459,1186,28,6,14,10,71,2,0,4,0,0,0
0.5715989794173816,1185,29,6,14,10,71,2,0,4,0,0,0
0.5975716792704027,1186,28,6,14,10,71,2,0,4,0,0,0
0.6104089799002349,1185,29,6,14,10,71,2,0,4,0,0,0
0.6259194877989989,1185,29,6,14,10,70,2,0,5,0,0,0
0.6373667343843104,1184,30,6,14,10,70,2,0,5,0,0,0
0.6382243963443782,1184,30,6,14,9,71,2,0,5,0,0,0
0.6483462990460795,1184,30,6,14,9,70,3,0,5,0,0,0
0.661819322667053,1183,31,6,14,9,70,3,0,5,0,0,0
0.6711028612890647,1182,32,6,14,9,70,3,0,5,0,0,0
0.6750579803009048,1182,32,5,15,9,70,3,0,5,0,0,0
0.6777488933950621,1182,32,5,15,8,70,4,0,5,0,0,0
0.6864257540798392,1181,33,5,15,8,70,4,0,5,0,0,0
0.6910397259823362,1180,34,5,15,8,70,4,0,5,0,0,0
0.6920591025370927,1179,35,5,15,8,70,4,0,5,0,0,0
0.7072831524263002,1178,36,5,15,8,70,4,0,5,0,0,0
0.7116993809051502,1179,35,5,15,8,70,4,0,5,0,0,0
0.7348516758154993,1179,35,5,14,8,70,4,0,6,0,0,0
0.7475555356204038,1179,35,5,14,8,69,4,0,7,0,0,0
0.7477899528346463,1180,34,5,14,8,69,4,0,7,0,0,0
0.7545706490954102,1180,34,5,14,8,68,4,0,8,0,0,0
0.7558867147451429,1179,35,5,14,8,68,4,0,8,0,0,0
0.769053161354862,1178,36,5,14,8,68,4,0,8,0,0,0
0.7696738540699714,1179,35,5,14,8,68,4,0,8,0,0,0
0.7911133995300607,1178,36,5,14,8,68,4,0,8,0,0,0
0.7950588173727655,1177,37,5,14,8,68,4,0,8,0,0,0
0.7974061205579159,1176,38,5,14,8,68,4,0,8,0,0,0
0.7989142675548919,1177,37,5,14,8,68,4,0,8,0,0,0
0.8159289670375253,1176,38,5,14,8,68,4,0,8,0,0,0
0.820233264965423,1175,39,5,14,8,68,4,0,8,0,0,0
0.8205184394747143,1174,40,5,14,8,68,4,0,8,0,0,0
0.8263389563367486,1174,40,5,14,7,68,5,0,8,0,0,0
0.8288668302193076,1173,41,5,14,7,68,5,0,8,0,0,0
0.829295818183828,1172,42,5,14,7,68,5,0,8,0,0,0
0.839432967616445,1171,42,6,14,7,68,5,0,8,0,0,0
0.8410870697181416,1171,42,6,14,7,67,5,0,9,0,0,0
0.887543100099321,1171,42,6,14,7,66,6,0,9,0,0,0
0.9045390204973028,1170,42,7,14,7,66,6,0,9,0,0,0
0.9085206655576165,1169,43,7,14,7,66,6,0,9,0,0,0
0.9092921354773806,1170,42,7,14,7,66,6,0,9,0,0,0
0.9148427377102206,1170,42,7,14,7,65,7,0,9,0,0,0
0.9152264072694117,1169,43,7,14,7,65,7,0,9,0,0,0
0.9264932875531773,1168,44,7,14,7,65,7,0,9,0,0,0
0.9324722250776896,1167,45,7,14,7,65,7,0,9,0,0,0
0.9412598584310667,1167,45,7,14,6,66,7,0,9,0,0,0
0.9504325018060754,1168,44,7,14,6,66,7,0,9,0,0,0
0.9566076760014952,1169,43,7,14,6,66,7,0,9,0,0,0
0.965938476728284,1169,43,7,14,6,65,8,0,9,0,0,0
0.9673424043116772,1168,44,7,14,6,65,8,0,9,0,0,0
0.9888422962526455,1167,45,7,14,6,65,8,0,9,0,0,0
1.012515110790643,1166,46,7,14,6,65,8,0,9,0,0,1
1.0417111386930296,1166,46,7,14,5,65,9,0,9,0,0,1
1.0435594616288182,1165,47,7,14,5,65,9,0,9,0,0,1
1.0484435433294066,1164,48,7,14,5,65,9,0,9,0,0,1
1.0492989361182097,1163,49,7,14,5,65,9,0,9,0,0,1
