T,S,S_s,E,I_n,I_a,I_s,I_d,R_d,R_u,D_d,D_u,day
0.0,1221,0,0,15,15,70,0,0,0,0,0,0
0.00029168447828141096,1221,0,0,15,15,69,1,0,0,0,0,0
0.007300237601965333,1220,0,1,15,15,69,1,0,0,0,0,0
0.025102237905604414,1219,1,1,15,15,69,1,0,0,0,0,0
0.02986883340105195,1220,0,1,15,15,69,1,0,0,0,0,0
0.03755371721353755,1219,1,1,15,15,69,1,0,0,0,0,0
0.04842439949543643,1218,2,1,15,15,69,1,0,0,0,0,0
0.06970586989349618,1217,3,1,15,15,69,1,0,0,0,0,0
0.08226627766752784,1217,3,1,15,15,68,1,0,1,0,0,0
0.08798779132778045,1217,3,1,15,15,67,1,0,2,0,0,0
0.09336520886175971,1216,3,2,15,15,67,1,0,2,0,0,0
0.11619971519304481,1215,4,2,15,15,67,1,0,2,0,0,0
0.11690353434146751,1214,5,2,15,15,67,1,0,2,0,0,0
0.12089899317612757,1213,6,2,15,15,67,1,0,2,0,0,0
0.12401074517071647,1212,7,2,15,15,67,1,0,2,0,0,0
0.13321332094308014,1211,8,2,15,15,67,1,0,2,0,0,0
0.16817778461684169,1210,9,2,15,15,67,1,0,2,0,0,0
0.17663073181683928,1210,9,2,15,14,68,1,0,2,0,0,0
0.1860428839226934,1210,9,2,15,13,69,1,0,2,0,0,0
0.199319309252119,1210,9,2,15,12,70,1,0,2,0,0,0
0.2064791383175441,1209,10,2,15,12,70,1,0,2,0,0,0
0.2127460984063902,1209,10,2,15,11,71,1,0,2,0,0,0
0.2283154523467752,1209,10,2,15,11,70,1,0,3,0,0,0
0.23841519648103138,1208,11,2,15,11,70,1,0,3,0,0,0
0.24143669441027188,1207,12,2,15,11,70,1,0,3,0,0,0
0.24712230781158454,1206,13,2,15,11,70,1,0,3,0,0,0
0.2637195921986753,1205,14,2,15,11,70,1,0,3,0,0,0
0.2660059639100914,1204,15,2,15,11,70,1,0,3,0,0,0
0.2667318234985108,1203,16,2,15,11,70,1,0,3,0,0,0
0.26931955541472213,1202,17,2,15,11,70,1,0,3,0,0,0
0.27867988173390623,1201,18,2,15,11,70,1,0,3,0,0,0
0.2860057619849143,1200,19,2,15,11,70,1,0,3,0,0,0
0.2865005839898452,1199,20,2,15,11,70,1,0,3,0,0,0
0.2868994435711332,1198,21,2,15,11,70,1,0,3,0,0,0
0.30662755512236683,1197,22,2,15,11,70,1,0,3,0,0,0
0.34022629357508877,1197,22,2,15,10,70,2,0,3,0,0,0
0.34904204732291855,1198,21,2,15,10,70,2,0,3,0,0,0
0.3516540425169438,1197,22,2,15,10,70,2,0,3,0,0,0
0.35943998429968044,1196,23,2,15,10,70,2,0,3,0,0,0
0.3595199663431023,1196,23,2,15,9,71,2,0,3,0,0,0
0.3616630163466564,1195,24,2,15,9,71,2,0,3,0,0,0
0.3662043621538167,1194,25,2,15,9,71,2,0,3,0,0,0
0.36623019369231696,1195,24,2,15,9,71,2,0,3,0,0,0
0.40499478158363067,1194,25,2,15,9,71,2,0,3,0,0,0
0.4088462508588917,1193,26,2,15,9,71,2,0,3,0,0,0
0.4144848130776937,1192,27,2,15,9,71,2,0,3,0,0,0
0.4347780474948512,1192,27,2,15,9,70,2,0,4,0,0,0
0.4381248960581377,1192,27,2,15,9,69,2,0,5,0,0,0
0.4422172480849883,1191,28,2,15,9,69,2,0,5,0,0,0
0.44555779181951005,1191,28,2,15,8,70,2,0,5,0,0,0
0.49441894193456115,1190,29,2,15,8,70,2,0,5,0,0,0
0.49563002456341476,1189,30,2,15,8,70,2,0,5,0,0,0
0.4975777862414857,1188,31,2,15,8,70,2,0,5,0,0,0
0.5034963838213202,1187,32,2,15,8,70,2,0,5,0,0,0
0.503610483935236,1186,33,2,15,8,70,2,0,5,0,0,0
0.5076837689376248,1185,34,2,15,8,70,2,0,5,0,0,0
0.5099717377378634,1186,33,2,15,8,70,2,0,5,0,0,0
0.5171979695568752,1186,33,2,15,8,69,3,0,5,0,0,0
0.5286550499275132,1185,34,2,15,8,69,3,0,5,0,0,0
0.5512624274593381,1185,34,2,15,7,70,3,0,5,0,0,0
0.5532504450794984,1184,35,2,15,7,70,3,0,5,0,0,0
0.5538814447790258,1183,36,2,15,7,70,3,0,5,0,0,0
0.554881022023976,1182,37,2,15,7,70,3,0,5,0,0,0
0.5596870798456048,1181,38,2,15,7,70,3,0,5,0,0,0
0.5643555424610706,1180,39,2,15,7,70,3,0,5,0,0,0
0.5649322005638605,1179,40,2,15,7,70,3,0,5,0,0,0
0.5668021532782062,1180,39,2,15,7,70,3,0,5,0,0,0
0.5711311711405006,1179,39,3,15,7,70,3,0,5,0,0,0
0.5785093411376454,1178,39,4,15,7,70,3,0,5,0,0,0
0.5933374245747625,1179,38,4,15,7,70,3,0,5,0,0,0
0.6030364213055219,1178,39,4,15,7,70,3,0,5,0,0,0
0.6121930589534321,1179,38,4,15,7,70,3,0,5,0,0,0
0.6163805409904006,1178,39,4,15,7,70,3,0,5,0,0,0
0.6172942957192297,1177,40,4,15,7,70,3,0,5,0,0,0
0.6189788940641536,1176,41,4,15,7,70,3,0,5,0,0,0
0.6300709459130891,1176,41,4,15,7,69,3,0,6,0,0,0
0.6310544527186812,1175,42,4,15,7,69,3,0,6,0,0,0
0.6568457904747145,1174,43,4,15,7,69,3,0,6,0,0,0
0.6736144467087626,1173,44,4,15,7,69,3,0,6,0,0,0
