T,S,S_s,E,I_n,I_a,I_s,I_d,R_d,R_u,D_d,D_u,day
0.0,1221,0,0,15,15,70,0,0,0,0,0,0
0.014120066304548276,1220,1,0,15,15,70,0,0,0,0,0,0
0.014892921250074811,1219,2,0,15,15,70,0,0,0,0,0,0
0.019430516041024873,1219,2,0,15,14,71,0,0,0,0,0,0
0.03243228329876498,1218,2,1,15,14,71,0,0,0,0,0,0
0.0341151371163213,1218,2,1,15,14,70,0,0,1,0,0,0
0.06373328544443164,1217,2,2,15,14,70,0,0,1,0,0,0
0.07942162530693536,1216,3,2,15,14,70,0,0,1,0,0,0
0.09135716882859528,1215,3,3,15,14,70,0,0,1,0,0,0
0.09213624210551373,1214,4,3,15,14,70,0,0,1,0,0,0
0.10637728655904681,1213,5,3,15,14,70,0,0,1,0,0,0
0.11023632922766062,1212,6,3,15,14,70,0,0,1,0,0,0
0.12300939245584072,1211,7,3,15,14,70,0,0,1,0,0,0
0.1410554203295049,1210,8,3,15,14,70,0,0,1,0,0,0
0.1418033382844953,1209,9,3,15,14,70,0,0,1,0,0,0
0.14243893987402625,1208,10,3,15,14,70,0,0,1,0,0,0
0.14476347243496449,1207,11,3,15,14,70,0,0,1,0,0,0
0.1534241528580292,1207,11,3,15,13,71,0,0,1,0,0,0
0.1605658536517063,1206,12,3,15,13,71,0,0,1,0,0,0
0.1616298378142304,1206,12,3,15,12,72,0,0,1,0,0,0
0.1629082376062962,1206,12,3,15,12,71,1,0,1,0,0,0
0.16825932027532456,1205,13,3,15,12,71,1,0,1,0,0,0
0.17744169798527948,1204,14,3,15,12,71,1,0,1,0,0,0
0.17817239146080255,1203,14,4,15,12,71,1,0,1,0,0,0
0.17936242768007965,1203,14,4,15,11,72,1,0,1,0,0,0
0.19020286177191273,1202,15,4,15,11,72,1,0,1,0,0,0
0.19300477835994032,1202,15,4,14,11,72,1,0,2,0,0,0
0.21266387742451864,1201,16,4,14,11,72,1,0,2,0,0,0
0.21409088170536567,1200,17,4,14,11,72,1,0,2,0,0,0
0.2169261414282297,1199,18,4,14,11,72,1,0,2,0,0,0
0.21930162616160673,1198,19,4,14,11,72,1,0,2,0,0,0
0.22257974205555792,1198,19,4,14,11,71,2,0,2,0,0,0
0.22412647426356383,1199,18,4,14,11,71,2,0,2,0,0,0
0.22462038660917905,1198,18,5,14,11,71,2,0,2,0,0,0
0.22828543725315792,1197,18,6,14,11,71,2,0,2,0,0,0
0.24380624288321734,1197,18,6,14,11,70,3,0,2,0,0,0
0.2739524130766682,1196,18,7,14,11,70,3,0,2,0,0,0
0.28471487220145925,1195,19,7,14,11,70,3,0,2,0,0,0
0.3129996257289802,1195,19,7,14,11,69,3,0,3,0,0,0
0.3287897333132232,1195,19,7,14,10,69,4,0,3,0,0,0
0.3292966513292565,1194,20,7,14,10,69,4,0,3,0,0,0
0.3351171957526438,1194,20,7,14,10,68,4,0,4,0,0,0
0.3459033957820974,1193,20,8,14,10,68,4,0,4,0,0,0
0.3573841607658072,1192,21,8,14,10,68,4,0,4,0,0,0
0.37605205210536774,1193,20,8,14,10,68,4,0,4,0,0,0
0.38129874954074744,1192,21,8,14,10,68,4,0,4,0,0,0
0.3868967189792479,1192,21,8,14,10,67,5,0,4,0,0,0
0.39898469546212767,1192,21,8,14,9,67,6,0,4,0,0,0
0.3999465633978143,1191,21,9,14,9,67,6,0,4,0,0,0
0.413760992948139,1190,22,9,14,9,67,6,0,4,0,0,0
0.44151497952261626,1191,21,9,14,9,67,6,0,4,0,0,0
0.4458644668011433,1191,21,9,14,9,66,7,0,4,0,0,0
0.44841928432179395,1191,21,9,14,9,65,7,0,5,0,0,0
0.44924673384435915,1190,22,9,14,9,65,7,0,5,0,0,0
0.4528741394002634,1189,22,10,14,9,65,7,0,5,0,0,0
0.45835294022223133,1188,23,10,14,9,65,7,0,5,0,0,0
0.49186487712468413,1187,24,10,14,9,65,7,0,5,0,0,0
0.4946410396671766,1187,24,10,14,9,64,8,0,5,0,0,0
0.5009746206616237,1186,25,10,14,9,64,8,0,5,0,0,0
0.5063900477479529,1185,26,10,14,9,64,8,0,5,0,0,0
0.5078861014096174,1184,26,11,14,9,64,8,0,5,0,0,0
0.5174462878973606,1183,27,11,14,9,64,8,0,5,0,0,0
0.5243239460932724,1182,28,11,14,9,64,8,0,5,0,0,0
0.5245751673918695,1181,29,11,14,9,64,8,0,5,0,0,0
0.5304987382300302,1180,30,11,14,9,64,8,0,5,0,0,0
0.5417549792235178,1179,31,11,14,9,64,8,0,5,0,0,0
0.5464112644433273,1178,32,11,14,9,64,8,0,5,0,0,0
0.5673137278076771,1177,33,11,14,9,64,8,0,5,0,0,0
0.5776472325894748,1178,32,11,14,9,64,8,0,5,0,0,0
0.5933154373175443,1177,33,11,14,9,64,8,0,5,0,0,0
0.5945777691529383,1176,34,11,14,9,64,8,0,5,0,0,0
0.6077701636897197,1176,34,10,14,9,64,9,0,5,0,0,0
0.6251619859474711,1175,35,10,14,9,64,9,0,5,0,0,0
0.6259443334951746,1175,35,9,14,9,64,10,0,5,0,0,0
0.6355550230812617,1174,35,10,14,9,64,10,0,5,0,0,0
0.6378476972290347,1174,35,10,14,8,65,10,0,5,0,0,0
0.6443662844096897,1174,35,10,14,8,64,10,0,6,0,0,0
0.6509371789474706,1173,36,10,14,8,64,10,0,6,0,0,0
0.6594495300509553,1172,37,10,14,8,64,10,0,6,0,0,0
0.661542498827434,1173,36,10,14,8,64,10,0,6,0,0,0
0.6711524910346363,1172,37,10,14,8,64,10,0,6,0,0,0
0.6739003208748353,1172,37,10,14,8,63,11,0,6,0,0,0
0.6752043788278316,1171,38,10,14,8,63,11,0,6,0,0,0
0.6758941262551358,1170,39,10,14,8,63,11,0,6,0,0,0
0.6766469881946374,1169,40,10,14,8,63,11,0,6,0,0,0
0.6773470388564807,1168,41,10,14,8,63,11,0,6,0,0,0
0.6860977264794055,1167,41,11,14,8,63,11,0,6,0,0,0
0.7179579858036151,1166,42,11,14,8,63,11,0,6,0,0,0
0.7282175653128692,1165,43,11,14,8,63,11,0,6,0,0,0
0.7302201295213188,1164,43,12,14,8,63,11,0,6,0,0,0
0.7617164590583425,1163,44,12,14,8,63,11,0,6,0,0,0
0.7619311382478916,1162,45,12,14,8,63,11,0,6,0,0,0
0.771638288736032,1162,45,12,14,8,62,12,0,6,0,0,0
0.7722475568184574,1161,45,13,14,8,62,12,0,6,0,0,0
0.7757235925817011,1160,46,13,14,8,62,12,0,6,0,0,0
0.7806358151759255,1160,46,13,14,8,61,13,0,6,0,0,0
0.7853960464181458,1159,46,14,14,8,61,13,0,6,0,0,0
0.7958934771308127,1158,47,14,14,8,61,13,0,6,0,0,0
0.8002109724370247,1157,48,14,14,8,61,13,0,6,0,0,0
0.8104365113004929,1156,49,14,14,8,61,13,0,6,0,0,0
0.8132807779623699,1156,49,14,14,8,60,14,0,6,0,0,0
0.8264814796096847,1155,50,14,14,8,60,14,0,6,0,0,0
0.8276711373866802,1156,49,14,14,8,60,14,0,6,0,0,0
0.8385457645207882,1157,48,14,14,8,60,14,0,6,0,0,0
0.8479520229657348,1156,49,14,14,8,60,14,0,6,0,0,0
0.86700472589384,1156,49,14,14,8,59,14,0,7,0,0,0
0.8806256081550544,1155,50,14,14,8,59,14,0,7,0,0,0
0.8822961752772052,1155,50,14,14,8,58,14,0,8,0,0,0
0.8825250356474097,1156,49,14,14,8,58,14,0,8,0,0,0
0.9020042853233515,1155,50,14,14,8,58,14,0,8,0,0,0
0.9120805503109034,1154,51,14,14,8,58,14,0,8,0,0,0
0.9311247214550156,1155,50,14,14,8,58,14,0,8,0,0,0
0.9409149737466262,1154,51,14,14,8,58,14,0,8,0,0,0
0.9528570607238549,1153,51,15,14,8,58,14,0,8,0,0,0
0.9659594965559835,1152,52,15,14,8,58,14,0,8,0,0,0
0.9729245262716032,1151,53,15,14,8,58,14,0,8,0,0,0
0.9861688178584381,1150,54,15,14,8,58,14,0,8,0,0,0
0.9935145963920048,1149,55,15,14,8,58,14,0,8,0,0,0
0.9935924454049242,1148,56,15,14,8,58,14,0,8,0,0,0
1.0196707967501613,1147,57,15,14,8,58,14,0,8,0,0,1
1.0261175300471488,1146,58,15,14,8,58,14,0,8,0,0,1
1.0262166551414735,1145,59,15,14,8,58,14,0,8,0,0,1
1.0335584228154175,1146,58,15,14,8,58,14,0,8,0,0,1
1.0516290728752073,1145,59,15,14,8,58,14,0,8,0,0,1
1.05919422480667,1144,60,15,14,8,58,14,0,8,0,0,1
1.0592723485980213,1143,61,15,14,8,58,14,0,8,0,0,1
1.063930241400594,1142,61,16,14,8,58,14,0,8,0,0,1
1.0713814781957582,1142,61,15,15,8,58,14,0,8,0,0,1
1.0780155434592025,1142,61,15,15,8,57,15,0,8,0,0,1
1.0891955670458127,1141,62,15,15,8,57,15,0,8,0,0,1
1.0905723851451485,1141,62,15,15,8,56,15,0,9,0,0,1
1.1130808600168016,1140,63,15,15,8,56,15,0,9,0,0,1
1.1200176885451945,1139,64,15,15,8,56,15,0,9,0,0,1
1.1299285400360304,1140,63,15,15,8,56,15,0,9,0,0,1
1.1428430636813054,1140,63,14,15,9,56,15,0,9,0,0,1
1.164874500128415,1139,64,14,15,9,56,15,0,9,0,0,1
1.166777350392419,1138,65,14,15,9,56,15,0,9,0,0,1
1.1677708548140058,1137,66,14,15,9,56,15,0,9,0,0,1
1.1842893483763774,1136,67,14,15,9,56,15,0,9,0,0,1
1.1852599369879626,1136,67,14,15,9,55,15,0,10,0,0,1
