T,S,S_s,E,I_n,I_a,I_s,I_d,R_d,R_u,D_d,D_u,day
0.0,1221,0,0,15,15,70,0,0,0,0,0,0
0.024685493098288415,1221,0,0,15,14,71,0,0,0,0,0,0
0.028785537235566677,1221,0,0,15,14,70,0,0,1,0,0,0
0.03932921623290459,1220,1,0,15,14,70,0,0,1,0,0,0
0.056560271736498344,1219,2,0,15,14,70,0,0,1,0,0,0
0.08888725075004622,1218,3,0,15,14,70,0,0,1,0,0,0
0.09389386134299826,1217,4,0,15,14,70,0,0,1,0,0,0
0.10220425197536526,1216,5,0,15,14,70,0,0,1,0,0,0
0.11446372974104929,1215,6,0,15,14,70,0,0,1,0,0,0
0.131355604277676,1215,6,0,15,13,71,0,0,1,0,0,0
0.13976421794715949,1215,6,0,15,12,71,1,0,1,0,0,0
0.146292013232346,1214,7,0,15,12,71,1,0,1,0,0,0
0.148977844717228,1214,7,0,15,12,70,1,0,2,0,0,0
0.15194293273110718,1214,7,0,15,12,69,1,0,3,0,0,0
0.1540407429557696,1213,8,0,15,12,69,1,0,3,0,0,0
0.15528692429825622,1212,9,0,15,12,69,1,0,3,0,0,0
0.16267611111775543,1211,9,1,15,12,69,1,0,3,0,0,0
0.17466793159541005,1210,10,1,15,12,69,1,0,3,0,0,0
0.17741939307369364,1209,11,1,15,12,69,1,0,3,0,0,0
0.1904282723639876,1208,12,1,15,12,69,1,0,3,0,0,0
0.19824239420823833,1207,13,1,15,12,69,1,0,3,0,0,0
0.22451031965266635,1207,13,1,14,12,69,1,0,4,0,0,0
0.2287277125974849,1206,14,1,14,12,69,1,0,4,0,0,0
0.23911327986036204,1207,13,1,14,12,69,1,0,4,0,0,0
0.24933713628665388,1206,14,1,14,12,69,1,0,4,0,0,0
0.2606185134009671,1205,14,2,14,12,69,1,0,4,0,0,0
0.26147902524106986,1204,15,2,14,12,69,1,0,4,0,0,0
0.2660777289154125,1203,16,2,14,12,69,1,0,4,0,0,0
0.2708467456228219,1202,17,2,14,12,69,1,0,4,0,0,0
0.2722674426977727,1202,17,2,14,12,68,2,0,4,0,0,0
0.2792082489638683,1202,17,2,14,12,67,3,0,4,0,0,0
0.303640691877885,1201,18,2,14,12,67,3,0,4,0,0,0
0.31403153038700093,1200,19,2,14,12,67,3,0,4,0,0,0
0.34190167739604305,1199,20,2,14,12,67,3,0,4,0,0,0
0.342025128726211,1198,21,2,14,12,67,3,0,4,0,0,0
0.3442901379936081,1197,22,2,14,12,67,3,0,4,0,0,0
0.34941052783947835,1196,23,2,14,12,67,3,0,4,0,0,0
0.3517391258446438,1195,24,2,14,12,67,3,0,4,0,0,0
0.35306413023615246,1194,25,2,14,12,67,3,0,4,0,0,0
0.3558949079770296,1193,26,2,14,12,67,3,0,4,0,0,0
0.3783601531882212,1192,27,2,14,12,67,3,0,4,0,0,0
0.39200287964295294,1191,28,2,14,12,67,3,0,4,0,0,0
0.4032816326262517,1190,29,2,14,12,67,3,0,4,0,0,0
0.40568813804840875,1190,29,2,14,11,68,3,0,4,0,0,0
0.4114343157170224,1190,29,2,14,10,69,3,0,4,0,0,0
0.41586947723604956,1189,29,3,14,10,69,3,0,4,0,0,0
0.42805717490330103,1188,29,4,14,10,69,3,0,4,0,0,0
0.43221584746239705,1189,28,4,14,10,69,3,0,4,0,0,0
0.45011291029140255,1188,29,4,14,10,69,3,0,4,0,0,0
0.45140096252700274,1187,30,4,14,10,69,3,0,4,0,0,0
0.4517239670023315,1186,31,4,14,10,69,3,0,4,0,0,0
0.5049847137983713,1185,31,5,14,10,69,3,0,4,0,0,0
0.5178269591578557,1184,32,5,14,10,69,3,0,4,0,0,0
0.5499048757211537,1184,32,5,14,9,70,3,0,4,0,0,0
0.5542175836605745,1183,33,5,14,9,70,3,0,4,0,0,0
0.5715762719144786,1182,34,5,14,9,70,3,0,4,0,0,0
0.5999110720417961,1181,35,5,14,9,70,3,0,4,0,0,0
0.60250186022169,1181,35,4,14,9,70,4,0,4,0,0,0
0.6161493128422849,1180,36,4,14,9,70,4,0,4,0,0,0
0.6168951083788192,1180,36,4,14,9,69,4,0,5,0,0,0
0.619465262127693,1181,35,4,14,9,69,4,0,5,0,0,0
0.6276359101471981,1180,36,4,14,9,69,4,0,5,0,0,0
0.6284987408233104,1179,37,4,14,9,69,4,0,5,0,0,0
0.628629230717003,1178,37,5,14,9,69,4,0,5,0,0,0
0.6403403475924591,1177,37,6,14,9,69,4,0,5,0,0,0
0.6410411750156576,1177,37,6,14,8,70,4,0,5,0,0,0
0.6415603121457283,1176,38,6,14,8,70,4,0,5,0,0,0
0.6481457857138606,1176,38,5,14,9,70,4,0,5,0,0,0
0.6531826179853982,1175,39,5,14,9,70,4,0,5,0,0,0
0.6667881577578648,1175,39,5,14,9,69,5,0,5,0,0,0
0.6744868201100509,1174,40,5,14,9,69,5,0,5,0,0,0
0.6788086519229972,1173,40,6,14,9,69,5,0,5,0,0,0
0.6865350411946471,1173,40,6,14,8,70,5,0,5,0,0,0
0.687863355082615,1172,41,6,14,8,70,5,0,5,0,0,0
0.6921813930975318,1171,42,6,14,8,70,5,0,5,0,0,0
0.6980664976036214,1172,41,6,14,8,70,5,0,5,0,0,0
0.7107229173345658,1171,42,6,14,8,70,5,0,5,0,0,0
0.730939148034112,1170,43,6,14,8,70,5,0,5,0,0,0
0.7370707921903275,1171,42,6,14,8,70,5,0,5,0,0,0
0.7443109990664005,1170,43,6,14,8,70,5,0,5,0,0,0
0.7566796637858891,1171,42,6,14,8,70,5,0,5,0,0,0
0.7728970135240257,1172,41,6,14,8,70,5,0,5,0,0,0
0.7819523907848254,1173,40,6,14,8,70,5,0,5,0,0,0
0.7912912116600098,1172,40,7,14,8,70,5,0,5,0,0,0
0.8401294712600319,1171,41,7,14,8,70,5,0,5,0,0,0
0.8422842460817022,1170,42,7,14,8,70,5,0,5,0,0,0
0.8480319216110536,1169,43,7,14,8,70,5,0,5,0,0,0
