T,S,S_s,E,I_n,I_a,I_s,I_d,R_d,R_u,D_d,D_u,day
0.0,1221,0,0,15,15,70,0,0,0,0,0,0
0.024531733397591626,1220,1,0,15,15,70,0,0,0,0,0,0
0.030711643303730017,1220,1,0,15,15,69,0,0,1,0,0,0
0.04393207449825815,1219,2,0,15,15,69,0,0,1,0,0,0
0.04865539396918163,1219,2,0,15,14,70,0,0,1,0,0,0
0.051889072438865105,1218,3,0,15,14,70,0,0,1,0,0,0
0.06301270234595789,1218,3,0,15,14,69,1,0,1,0,0,0
0.06365144587918715,1217,4,0,15,14,69,1,0,1,0,0,0
0.0821118407454671,1217,4,0,15,13,70,1,0,1,0,0,0
0.09286912915516264,1216,5,0,15,13,70,1,0,1,0,0,0
0.10372258391880845,1216,5,0,15,12,71,1,0,1,0,0,0
0.11456047855107242,1215,5,1,15,12,71,1,0,1,0,0,0
0.11836403898460832,1215,5,1,15,12,70,1,0,2,0,0,0
0.13801008851543473,1214,6,1,15,12,70,1,0,2,0,0,0
0.14342768790038032,1213,6,2,15,12,70,1,0,2,0,0,0
0.1553565176024994,1212,7,2,15,12,70,1,0,2,0,0,0
0.16763774408251322,1213,6,2,15,12,70,1,0,2,0,0,0
0.18146067455485448,1213,6,2,15,11,71,1,0,2,0,0,0
0.18249007049990806,1212,6,3,15,11,71,1,0,2,0,0,0
0.22225464474974405,1211,7,3,15,11,71,1,0,2,0,0,0
0.22298584592951626,1210,8,3,15,11,71,1,0,2,0,0,0
0.23701104168806308,1209,8,4,15,11,71,1,0,2,0,0,0
0.24140780079033325,1209,8,4,15,10,72,1,0,2,0,0,0
0.24372028581986727,1209,8,4,15,10,71,1,0,3,0,0,0
0.245683994692075,1208,8,5,15,10,71,1,0,3,0,0,0
0.2679533840689354,1208,8,5,15,9,72,1,0,3,0,0,0
0.28554862578549783,1208,8,5,15,9,71,1,0,4,0,0,0
0.28748827301578705,1207,9,5,15,9,71,1,0,4,0,0,0
0.2954874376135776,1206,10,5,15,9,71,1,0,4,0,0,0
0.29860061796922066,1206,10,5,15,9,70,1,0,5,0,0,0
0.3095262704006547,1205,11,5,15,9,70,1,0,5,0,0,0
0.3134895658433378,1204,12,5,15,9,70,1,0,5,0,0,0
0.31366153485323495,1203,13,5,15,9,70,1,0,5,0,0,0
0.3342144895576964,1203,13,5,15,8,71,1,0,5,0,0,0
0.3460162077126067,1202,14,5,15,8,71,1,0,5,0,0,0
0.3536731387403054,1201,15,5,15,8,71,1,0,5,0,0,0
0.3581944445400206,1200,16,5,15,8,71,1,0,5,0,0,0
0.358441188773851,1200,16,5,15,7,72,1,0,5,0,0,0
0.3739540059907471,1200,16,5,15,7,71,1,0,6,0,0,0
0.39230602729271424,1199,17,5,15,7,71,1,0,6,0,0,0
