T,S,S_s,E,I_n,I_a,I_s,I_d,R_d,R_u,D_d,D_u,day
0.0,1221,0,0,15,15,70,0,0,0,0,0,0
0.011925518498301122,1221,0,0,15,15,69,0,0,1,0,0,0
0.014251695260388435,1220,1,0,15,15,69,0,0,1,0,0,0
0.04353427330957327,1219,2,0,15,15,69,0,0,1,0,0,0
0.05839877386995833,1219,2,0,15,14,70,0,0,1,0,0,0
0.067473011493139,1218,3,0,15,14,70,0,0,1,0,0,0
0.070234477224211,1217,3,1,15,14,70,0,0,1,0,0,0
0.09361845771273433,1216,3,2,15,14,70,0,0,1,0,0,0
0.10454067245929474,1215,3,3,15,14,70,0,0,1,0,0,0
0.1103848023743254,1215,3,3,15,14,69,1,0,1,0,0,0
0.11350786014938555,1214,4,3,15,14,69,1,0,1,0,0,0
0.13362107792448558,1213,5,3,15,14,69,1,0,1,0,0,0
0.13553948285046266,1212,6,3,15,14,69,1,0,1,0,0,0
0.14429266615334,1212,6,3,15,13,70,1,0,1,0,0,0
0.1486595709952109,1211,7,3,15,13,70,1,0,1,0,0,0
0.16230462188025255,1211,7,3,15,13,69,1,0,2,0,0,0
0.18963127042168618,1210,8,3,15,13,69,1,0,2,0,0,0
0.1921995826276153,1210,8,3,15,12,70,1,0,2,0,0,0
0.2023218131401376,1210,8,3,15,12,69,2,0,2,0,0,0
0.20886863195685623,1209,9,3,15,12,69,2,0,2,0,0,0
0.21030146162946306,1209,9,3,15,11,70,2,0,2,0,0,0
0.22434361158622146,1208,10,3,15,11,70,2,0,2,0,0,0
0.2451610700979676,1207,10,4,15,11,70,2,0,2,0,0,0
0.24708389455505275,1206,10,5,15,11,70,2,0,2,0,0,0
0.25162801270196977,1205,10,6,15,11,70,2,0,2,0,0,0
0.27871732938894533,1204,11,6,15,11,70,2,0,2,0,0,0
0.28848598151660937,1203,12,6,15,11,70,2,0,2,0,0,0
0.2941469456554825,1203,12,6,14,11,70,2,0,3,0,0,0
0.30110797589848004,1202,13,6,14,11,70,2,0,3,0,0,0
0.3143604443752976,1201,13,7,14,11,70,2,0,3,0,0,0
0.31960149938455107,1200,14,7,14,11,70,2,0,3,0,0,0
0.3213768249950834,1200,14,6,14,12,70,2,0,3,0,0,0
0.33357332440440013,1200,14,6,14,12,69,2,0,4,0,0,0
0.35462889126622354,1201,13,6,14,12,69,2,0,4,0,0,0
0.3573005872568575,1200,13,7,14,12,69,2,0,4,0,0,0
0.36246483830365167,1199,14,7,14,12,69,2,0,4,0,0,0
0.3756960324400307,1198,15,7,14,12,69,2,0,4,0,0,0
0.3843292003122102,1197,16,7,14,12,69,2,0,4,0,0,0
0.38597887397954855,1196,17,7,14,12,69,2,0,4,0,0,0
0.3948649124753124,1195,18,7,14,12,69,2,0,4,0,0,0
0.42094729135943054,1194,19,7,14,12,69,2,0,4,0,0,0
0.43377873784095133,1193,19,8,14,12,69,2,0,4,0,0,0
0.4392693557117926,1192,20,8,14,12,69,2,0,4,0,0,0
0.44144474187563837,1191,21,8,14,12,69,2,0,4,0,0,0
0.44684585109685454,1191,21,8,14,12,68,3,0,4,0,0,0
0.45370888258658265,1191,21,8,14,11,69,3,0,4,0,0,0
0.46165718295804653,1190,22,8,14,11,69,3,0,4,0,0,0
0.4693686894260075,1190,22,8,14,11,68,4,0,4,0,0,0
0.47400603980733386,1189,23,8,14,11,68,4,0,4,0,0,0
0.4872058146640366,1188,24,8,14,11,68,4,0,4,0,0,0
0.49087776262140936,1188,24,8,14,10,69,4,0,4,0,0,0
0.5128042311953857,1187,25,8,14,10,69,4,0,4,0,0,0
0.5146938451868414,1186,25,9,14,10,69,4,0,4,0,0,0
0.5178193274546881,1186,25,9,14,10,68,4,0,5,0,0,0
0.5295340207437852,1186,25,9,14,10,67,5,0,5,0,0,0
0.5343900839061287,1186,25,9,14,10,66,6,0,5,0,0,0
0.5355465980605694,1187,24,9,14,10,66,6,0,5,0,0,0
0.5419095132855662,1187,24,9,14,10,65,6,0,6,0,0,0
0.5439434670148295,1187,24,8,15,10,65,6,0,6,0,0,0
0.5564061485605211,1187,24,8,15,10,64,6,0,7,0,0,0
0.5572197871393103,1186,25,8,15,10,64,6,0,7,0,0,0
0.5755700812149863,1185,25,9,15,10,64,6,0,7,0,0,0
0.5767841846277891,1184,26,9,15,10,64,6,0,7,0,0,0
0.5795452754280068,1184,26,9,15,10,63,6,0,8,0,0,0
0.5810534280540781,1184,26,9,15,10,62,7,0,8,0,0,0
0.5812610506677592,1183,27,9,15,10,62,7,0,8,0,0,0
0.5855813337479768,1184,26,9,15,10,62,7,0,8,0,0,0
0.5975442096459258,1183,26,10,15,10,62,7,0,8,0,0,0
0.6063357891684903,1182,27,10,15,10,62,7,0,8,0,0,0
0.6095426922044923,1182,27,10,15,10,61,7,0,9,0,0,0
0.626818259200287,1181,28,10,15,10,61,7,0,9,0,0,0
0.6340042813753988,1180,28,11,15,10,61,7,0,9,0,0,0
0.6420888984065202,1179,29,11,15,10,61,7,0,9,0,0,0
0.6616288054912689,1178,29,12,15,10,61,7,0,9,0,0,0
0.6637386253366688,1178,29,12,15,10,60,8,0,9,0,0,0
0.6648464727050666,1177,30,12,15,10,60,8,0,9,0,0,0
0.6680300149375648,1176,30,13,15,10,60,8,0,9,0,0,0
0.6707421035518748,1175,31,13,15,10,60,8,0,9,0,0,0
0.6747467333264523,1175,31,13,15,10,59,9,0,9,0,0,0
0.6753479803961738,1175,31,13,15,9,60,9,0,9,0,0,0
0.6781418808526766,1174,32,13,15,9,60,9,0,9,0,0,0
0.679992966203,1173,33,13,15,9,60,9,0,9,0,0,0
0.6819924067030593,1172,33,14,15,9,60,9,0,9,0,0,0
0.685875800784339,1172,33,14,15,9,59,9,0,10,0,0,0
0.6893219112509896,1171,34,14,15,9,59,9,0,10,0,0,0
0.6942097338598324,1170,35,14,15,9,59,9,0,10,0,0,0
0.705486616532545,1169,36,14,15,9,59,9,0,10,0,0,0
0.7251403964719624,1169,36,13,15,10,59,9,0,10,0,0,0
0.7458209511336781,1169,36,13,15,9,59,10,0,10,0,0,0
0.7643798717051935,1168,37,13,15,9,59,10,0,10,0,0,0
0.7678404494730856,1167,38,13,15,9,59,10,0,10,0,0,0
0.773523036481951,1166,39,13,15,9,59,10,0,10,0,0,0
0.8028407003073733,1165,40,13,15,9,59,10,0,10,0,0,0
0.8079353440258851,1165,40,13,15,8,60,10,0,10,0,0,0
0.8147491733114629,1164,41,13,15,8,60,10,0,10,0,0,0
0.8201687863208086,1164,41,13,15,8,59,11,0,10,0,0,0
0.8228042069168867,1165,40,13,15,8,59,11,0,10,0,0,0
0.8306406467752175,1166,39,13,15,8,59,11,0,10,0,0,0
0.8516952619784169,1165,40,13,15,8,59,11,0,10,0,0,0
0.8599666891325187,1165,40,13,15,7,60,11,0,10,0,0,0
0.8687591186679451,1165,40,13,15,6,61,11,0,10,0,0,0
0.8719092535967599,1164,40,14,15,6,61,11,0,10,0,0,0
0.8747300249679655,1163,41,14,15,6,61,11,0,10,0,0,0
0.8843755057060083,1164,40,14,15,6,61,11,0,10,0,0,0
0.8943173321293135,1165,39,14,15,6,61,11,0,10,0,0,0
0.9018287389545498,1165,39,14,14,6,61,11,0,11,0,0,0
0.929161460246419,1164,40,14,14,6,61,11,0,11,0,0,0
0.9576437469277327,1163,41,14,14,6,61,11,0,11,0,0,0
0.9844912636240923,1162,42,14,14,6,61,11,0,11,0,0,0
0.9879073929764182,1161,43,14,14,6,61,11,0,11,0,0,0
0.9896237011362611,1161,43,14,14,6,60,12,0,11,0,0,0
0.996574613640932,1160,43,15,14,6,60,12,0,11,0,0,0
