T,S,S_s,E,I_n,I_a,I_s,I_d,R_d,R_u,D_d,D_u,day
0.0,1221,0,0,15,15,70,0,0,0,0,0,0
0.004736241762124784,1220,1,0,15,15,70,0,0,0,0,0,0
0.020306353381725744,1219,2,0,15,15,70,0,0,0,0,0,0
0.0304414438021069,1219,2,0,15,14,71,0,0,0,0,0,0
0.04115490794021233,1218,3,0,15,14,71,0,0,0,0,0,0
0.057571197504069804,1217,4,0,15,14,71,0,0,0,0,0,0
0.06712603653899225,1217,4,0,14,14,71,0,0,1,0,0,0
0.07461948149160258,1217,4,0,13,14,71,0,0,2,0,0,0
0.08039853632395204,1217,4,0,13,13,72,0,0,2,0,0,0
0.0890324926407528,1216,5,0,13,13,72,0,0,2,0,0,0
0.09354044520686941,1216,5,0,12,13,72,0,0,3,0,0,0
0.09929637416628792,1215,6,0,12,13,72,0,0,3,0,0,0
0.11191328049598964,1214,7,0,12,13,72,0,0,3,0,0,0
0.1179333117898907,1213,7,1,12,13,72,0,0,3,0,0,0
0.12228001772712639,1213,7,1,12,13,71,0,0,4,0,0,0
0.14490688821582232,1213,7,1,12,12,72,0,0,4,0,0,0
0.15669019652457902,1212,7,2,12,12,72,0,0,4,0,0,0
0.1682239965374532,1211,8,2,12,12,72,0,0,4,0,0,0
0.18233961505827384,1211,8,2,12,12,71,1,0,4,0,0,0
0.19106119569240845,1210,9,2,12,12,71,1,0,4,0,0,0
0.19824936932782297,1210,9,2,12,12,70,1,0,5,0,0,0
0.2037579049445561,1209,10,2,12,12,70,1,0,5,0,0,0
0.20595862898528744,1208,11,2,12,12,70,1,0,5,0,0,0
0.2102824060460528,1207,12,2,12,12,70,1,0,5,0,0,0
0.2195820760958103,1206,13,2,12,12,70,1,0,5,0,0,0
0.22172498959282855,1205,14,2,12,12,70,1,0,5,0,0,0
0.2441122148823165,1205,14,2,12,12,69,1,0,6,0,0,0
0.2501549204123691,1204,15,2,12,12,69,1,0,6,0,0,0
0.2607920489016241,1205,14,2,12,12,69,1,0,6,0,0,0
0.2673561356452989,1204,15,2,12,12,69,1,0,6,0,0,0
0.29329530469377796,1203,16,2,12,12,69,1,0,6,0,0,0
0.3013000539831107,1202,17,2,12,12,69,1,0,6,0,0,0
0.3071993399954189,1202,17,2,12,11,70,1,0,6,0,0,0
0.3257080473489565,1202,17,2,12,10,71,1,0,6,0,0,0
0.33004325602412193,1202,17,2,12,9,72,1,0,6,0,0,0
0.3338683240346443,1201,17,3,12,9,72,1,0,6,0,0,0
0.3440017809138776,1201,17,3,12,9,71,1,0,7,0,0,0
0.34728993790403156,1200,17,4,12,9,71,1,0,7,0,0,0
0.3741984605719777,1199,17,5,12,9,71,1,0,7,0,0,0
0.37560853553432827,1199,17,5,12,9,70,2,0,7,0,0,0
0.37740711779217184,1198,18,5,12,9,70,2,0,7,0,0,0
0.38004841852379345,1197,19,5,12,9,70,2,0,7,0,0,0
0.3811575813264819,1197,19,5,12,8,71,2,0,7,0,0,0
0.3881933461639342,1197,19,5,12,7,72,2,0,7,0,0,0
0.39979508499923716,1198,18,5,12,7,72,2,0,7,0,0,0
0.4035868280796483,1197,19,5,12,7,72,2,0,7,0,0,0
0.40534206830388514,1196,20,5,12,7,72,2,0,7,0,0,0
0.40704283983307105,1195,21,5,12,7,72,2,0,7,0,0,0
0.41173307301880474,1196,20,5,12,7,72,2,0,7,0,0,0
