T,S,S_s,E,I_n,I_a,I_s,I_d,R_d,R_u,D_d,D_u,day
0.0,1221,0,0,15,15,70,0,0,0,0,0,0
0.0031476115964246187,1221,0,0,15,14,71,0,0,0,0,0,0
0.016281711984856936,1220,1,0,15,14,71,0,0,0,0,0,0
0.03400190766848257,1219,2,0,15,14,71,0,0,0,0,0,0
0.07342695349307723,1218,3,0,15,14,71,0,0,0,0,0,0
0.08009828034591263,1217,4,0,15,14,71,0,0,0,0,0,0
0.08955530282188882,1216,5,0,15,14,71,0,0,0,0,0,0
0.09846451204520024,1215,6,0,15,14,71,0,0,0,0,0,0
0.10317933773983616,1214,7,0,15,14,71,0,0,0,0,0,0
0.11620652775461315,1213,8,0,15,14,71,0,0,0,0,0,0
0.1205947903346289,1213,8,0,15,14,70,0,0,1,0,0,0
0.12327149980740836,1212,9,0,15,14,70,0,0,1,0,0,0
0.1281734031492174,1211,10,0,15,14,70,0,0,1,0,0,0
0.1296370006968814,1210,10,1,15,14,70,0,0,1,0,0,0
0.14456079018332854,1210,10,1,15,13,71,0,0,1,0,0,0
0.15433072510389356,1209,11,1,15,13,71,0,0,1,0,0,0
0.1571652277513903,1209,11,1,15,12,72,0,0,1,0,0,0
0.16116568265585252,1208,12,1,15,12,72,0,0,1,0,0,0
0.16709174211675043,1208,12,1,15,11,73,0,0,1,0,0,0
0.17141937381556668,1208,12,1,15,11,72,1,0,1,0,0,0
0.1757116021592149,1209,11,1,15,11,72,1,0,1,0,0,0
0.17875606679135364,1208,12,1,15,11,72,1,0,1,0,0,0
0.18243561890559443,1207,13,1,15,11,72,1,0,1,0,0,0
0.18614906221659622,1207,13,1,15,11,71,2,0,1,0,0,0
0.18668267689176146,1206,14,1,15,11,71,2,0,1,0,0,0
0.1977160643779602,1206,14,1,15,11,70,2,0,2,0,0,0
0.20187102247094665,1206,14,1,15,10,71,2,0,2,0,0,0
0.2148064220221088,1205,14,2,15,10,71,2,0,2,0,0,0
0.2210052979314033,1205,14,2,15,9,72,2,0,2,0,0,0
0.22482269535737776,1204,15,2,15,9,72,2,0,2,0,0,0
0.23615577583186362,1203,15,3,15,9,72,2,0,2,0,0,0
0.23632564793519356,1202,16,3,15,9,72,2,0,2,0,0,0
0.23853186673125504,1201,16,4,15,9,72,2,0,2,0,0,0
0.24592618451729434,1200,17,4,15,9,72,2,0,2,0,0,0
0.25400053329636274,1200,17,4,15,9,71,2,0,3,0,0,0
0.25621819336395674,1200,17,4,15,9,70,2,0,4,0,0,0
0.2659380659068739,1199,18,4,15,9,70,2,0,4,0,0,0
0.26991101645353793,1198,19,4,15,9,70,2,0,4,0,0,0
0.28172830490220835,1198,19,4,15,9,69,2,0,5,0,0,0
0.32539439001031467,1197,20,4,15,9,69,2,0,5,0,0,0
0.3261864250388916,1196,21,4,15,9,69,2,0,5,0,0,0
0.32668521807844664,1196,21,4,15,8,70,2,0,5,0,0,0
0.35416190901908134,1195,22,4,15,8,70,2,0,5,0,0,0
0.36077272388062054,1195,22,3,15,8,70,3,0,5,0,0,0
0.38834211883512937,1195,22,3,15,8,69,4,0,5,0,0,0
0.4082839538361173,1196,21,3,15,8,69,4,0,5,0,0,0
0.4087334209763181,1196,21,3,15,7,70,4,0,5,0,0,0
0.42691107547924223,1195,22,3,15,7,70,4,0,5,0,0,0
0.43061290073176717,1194,23,3,15,7,70,4,0,5,0,0,0
0.43730764892480234,1195,22,3,15,7,70,4,0,5,0,0,0
0.4512582630606288,1194,22,4,15,7,70,4,0,5,0,0,0
0.45885189318021885,1193,23,4,15,7,70,4,0,5,0,0,0
0.4594637990411963,1192,23,5,15,7,70,4,0,5,0,0,0
0.47198956180773266,1191,23,6,15,7,70,4,0,5,0,0,0
0.4760512313121677,1191,23,6,15,7,69,5,0,5,0,0,0
0.4883761133520003,1190,24,6,15,7,69,5,0,5,0,0,0
0.49543923278165974,1189,25,6,15,7,69,5,0,5,0,0,0
0.4980834930867125,1189,25,6,15,7,68,5,0,6,0,0,0
0.5133562333069829,1189,25,6,15,7,67,6,0,6,0,0,0
0.5286856831564988,1190,24,6,15,7,67,6,0,6,0,0,0
0.5308525971878238,1189,25,6,15,7,67,6,0,6,0,0,0
0.542497413488781,1188,26,6,15,7,67,6,0,6,0,0,0
0.5491336271762602,1188,26,6,15,6,68,6,0,6,0,0,0
0.5639450738639173,1187,27,6,15,6,68,6,0,6,0,0,0
0.5711215849423181,1186,28,6,15,6,68,6,0,6,0,0,0
0.6074951470280435,1185,29,6,15,6,68,6,0,6,0,0,0
0.6503527609769204,1186,28,6,15,6,68,6,0,6,0,0,0
0.6619947209486703,1185,29,6,15,6,68,6,0,6,0,0,0
0.6649878890068406,1184,30,6,15,6,68,6,0,6,0,0,0
0.689095333013801,1183,31,6,15,6,68,6,0,6,0,0,0
0.7003206012170374,1182,32,6,15,6,68,6,0,6,0,0,0
0.7446534200620846,1183,31,6,15,6,68,6,0,6,0,0,0
0.7455839286555004,1183,31,6,15,6,67,7,0,6,0,0,0
