T,S,S_s,E,I_n,I_a,I_s,I_d,R_d,R_u,D_d,D_u,day
0.0,1221,0,0,15,15,70,0,0,0,0,0,0
0.004614737429776229,1220,1,0,15,15,70,0,0,0,0,0,0
0.007652462110540924,1219,2,0,15,15,70,0,0,0,0,0,0
0.010706298943527618,1218,3,0,15,15,70,0,0,0,0,0,0
0.037506085273286166,1218,3,0,15,14,71,0,0,0,0,0,0
0.03759593831266608,1217,4,0,15,14,71,0,0,0,0,0,0
0.05604829076808339,1217,4,0,15,13,72,0,0,0,0,0,0
0.0694342150742484,1216,4,1,15,13,72,0,0,0,0,0,0
0.08240743801435198,1216,4,1,15,13,71,1,0,0,0,0,0
0.09284532869052904,1215,5,1,15,13,71,1,0,0,0,0,0
0.10333966327112541,1214,6,1,15,13,71,1,0,0,0,0,0
0.11277382908386173,1213,6,2,15,13,71,1,0,0,0,0,0
0.11376222426675552,1212,7,2,15,13,71,1,0,0,0,0,0
0.1308625757408672,1211,7,3,15,13,71,1,0,0,0,0,0
0.13111623900462313,1211,7,3,15,13,70,1,0,1,0,0,0
0.140714646601224,1211,7,3,15,12,71,1,0,1,0,0,0
0.1501456809775812,1211,7,3,14,12,71,1,0,2,0,0,0
0.16304850827758702,1211,7,3,14,12,70,2,0,2,0,0,0
0.17109036142082512,1211,7,3,14,11,71,2,0,2,0,0,0
0.17221909297149893,1210,8,3,14,11,71,2,0,2,0,0,0
0.17955685360860876,1209,9,3,14,11,71,2,0,2,0,0,0
0.18036811128746646,1208,10,3,14,11,71,2,0,2,0,0,0
0.1825012999835259,1207,11,3,14,11,71,2,0,2,0,0,0
0.1988373881195168,1208,10,3,14,11,71,2,0,2,0,0,0
0.20002718902285177,1207,11,3,14,11,71,2,0,2,0,0,0
0.20582756602150765,1207,11,3,14,10,72,2,0,2,0,0,0
0.20878638204464753,1206,12,3,14,10,72,2,0,2,0,0,0
0.21138260886234236,1205,13,3,14,10,72,2,0,2,0,0,0
0.21704549893061711,1204,14,3,14,10,72,2,0,2,0,0,0
0.21840118210067144,1204,14,3,14,10,71,2,0,3,0,0,0
0.23406182309659462,1203,15,3,14,10,71,2,0,3,0,0,0
0.24344668345932843,1202,15,4,14,10,71,2,0,3,0,0,0
0.2605015567566919,1201,16,4,14,10,71,2,0,3,0,0,0
0.2655150629347792,1200,17,4,14,10,71,2,0,3,0,0,0
0.2702396391456221,1199,18,4,14,10,71,2,0,3,0,0,0
0.2716098531248032,1198,19,4,14,10,71,2,0,3,0,0,0
0.2809993192784351,1197,19,5,14,10,71,2,0,3,0,0,0
0.28236038389017903,1196,20,5,14,10,71,2,0,3,0,0,0
0.29092997757484657,1195,21,5,14,10,71,2,0,3,0,0,0
0.3025080469343991,1194,22,5,14,10,71,2,0,3,0,0,0
0.30601584704585966,1194,22,5,14,10,70,3,0,3,0,0,0
0.3157064481612858,1194,22,5,14,10,70,2,1,3,0,0,0
0.33161971073273766,1193,23,5,14,10,70,2,1,3,0,0,0
0.3329926068245599,1192,23,6,14,10,70,2,1,3,0,0,0
0.3447097524694981,1191,24,6,14,10,70,2,1,3,0,0,0
0.3691099509468007,1191,24,6,14,10,69,3,1,3,0,0,0
0.3733589448734533,1190,25,6,14,10,69,3,1,3,0,0,0
0.3778179381051975,1190,25,5,15,10,69,3,1,3,0,0,0
0.3864380326587705,1191,24,5,15,10,69,3,1,3,0,0,0
0.3866197170711859,1190,25,5,15,10,69,3,1,3,0,0,0
0.3988343913288572,1189,26,5,15,10,69,3,1,3,0,0,0
0.40986087107754277,1189,26,5,15,10,68,3,1,4,0,0,0
0.42567265755987205,1188,27,5,15,10,68,3,1,4,0,0,0
0.43818028287841326,1187,28,5,15,10,68,3,1,4,0,0,0
0.44138732036485595,1186,28,6,15,10,68,3,1,4,0,0,0
0.45381448928612494,1186,28,6,15,10,67,3,1,5,0,0,0
0.46495954274740037,1185,29,6,15,10,67,3,1,5,0,0,0
0.47200886215673105,1184,30,6,15,10,67,3,1,5,0,0,0
0.48040613144056343,1185,29,6,15,10,67,3,1,5,0,0,0
0.48083823697693245,1184,30,6,15,10,67,3,1,5,0,0,0
0.4876070825535746,1183,31,6,15,10,67,3,1,5,0,0,0
0.4905674207077707,1182,32,6,15,10,67,3,1,5,0,0,0
0.494816081327628,1182,32,6,15,10,66,4,1,5,0,0,0
0.5035396510477588,1182,32,5,15,10,66,5,1,5,0,0,0
0.5058795041268447,1181,33,5,15,10,66,5,1,5,0,0,0
0.5272269186530283,1180,34,5,15,10,66,5,1,5,0,0,0
0.5355551122020453,1181,33,5,15,10,66,5,1,5,0,0,0
0.5384437170942231,1182,32,5,15,10,66,5,1,5,0,0,0
0.5445541630029952,1181,32,6,15,10,66,5,1,5,0,0,0
0.5481018097819017,1180,33,6,15,10,66,5,1,5,0,0,0
0.55062194695617,1180,33,6,15,10,65,6,1,5,0,0,0
0.5572476158892302,1181,32,6,15,10,65,6,1,5,0,0,0
0.5732420496824,1181,32,6,15,9,66,6,1,5,0,0,0
0.5785115062882524,1180,33,6,15,9,66,6,1,5,0,0,0
