T,S,S_s,E,I_n,I_a,I_s,I_d,R_d,R_u,D_d,D_u,day
0.0,1221,0,0,15,15,70,0,0,0,0,0,0
0.0020486738540284564,1221,0,0,15,15,69,0,0,1,0,0,0
0.0032910740885207382,1221,0,0,15,15,68,0,0,2,0,0,0
0.0035047592170386623,1221,0,0,15,15,67,0,0,3,0,0,0
0.014577686835126292,1221,0,0,15,14,68,0,0,3,0,0,0
0.04256090420881506,1220,1,0,15,14,68,0,0,3,0,0,0
0.04669259096423619,1219,2,0,15,14,68,0,0,3,0,0,0
0.07610507529020782,1219,2,0,14,14,68,0,0,4,0,0,0
0.08015627486179398,1219,2,0,14,14,67,1,0,4,0,0,0
0.0835262356123173,1219,2,0,14,13,68,1,0,4,0,0,0
0.09761757422578538,1218,3,0,14,13,68,1,0,4,0,0,0
0.0989400105729037,1217,4,0,14,13,68,1,0,4,0,0,0
0.12670809136582534,1216,5,0,14,13,68,1,0,4,0,0,0
0.12822048809804643,1215,6,0,14,13,68,1,0,4,0,0,0
0.13443377745418447,1214,7,0,14,13,68,1,0,4,0,0,0
0.15082689678085068,1213,8,0,14,13,68,1,0,4,0,0,0
0.1594663291241897,1214,7,0,14,13,68,1,0,4,0,0,0
0.16820722224847573,1214,7,0,14,12,69,1,0,4,0,0,0
0.18509147556107358,1213,8,0,14,12,69,1,0,4,0,0,0
0.19165668303323055,1212,8,1,14,12,69,1,0,4,0,0,0
0.1964437644112393,1211,9,1,14,12,69,1,0,4,0,0,0
0.20403105958456944,1210,10,1,14,12,69,1,0,4,0,0,0
0.212920776799194,1209,11,1,14,12,69,1,0,4,0,0,0
0.24250695497106695,1208,12,1,14,12,69,1,0,4,0,0,0
0.24445985990206792,1207,13,1,14,12,69,1,0,4,0,0,0
0.25156225534156673,1206,14,1,14,12,69,1,0,4,0,0,0
0.2683206619185518,1205,15,1,14,12,69,1,0,4,0,0,0
0.3000261414438982,1204,16,1,14,12,69,1,0,4,0,0,0
0.3068591157507174,1205,15,1,14,12,69,1,0,4,0,0,0
